노선명,정류장ID,서비스ID,정류장명,정류장 순번,위도,경도
1000번 (반석역~조형아파트),186004230,43980,반석역,1,36.39142,127.31514
1000번 (반석역~조형아파트),293011034,34054,발산리,2,36.45648,127.28418
1000번 (반석역~조형아파트),293011027,34010,금남면사무소,3,36.46423,127.28098
1000번 (반석역~조형아파트),293064514,64037,용포삼거리,4,36.46825,127.28234
1000번 (반석역~조형아파트),293064351,60018,대평동커뮤니티센터,5,36.4724194,127.2790898
1000번 (반석역~조형아파트),293064231,51123,대평동(해들마을),6,36.4723006,127.2763096
1000번 (반석역~조형아파트),293055058,51052,세종고속시외버스터미널,7,36.4689905,127.2735878
1000번 (반석역~조형아파트),293053010,51037,한솔동(첫마을),8,36.4812897,127.2618716
1000번 (반석역~조형아파트),293053006,51008,새롬동.나성동,9,36.4868848,127.2579693
1000번 (반석역~조형아파트),293064435,51137,한국산업인력공단(세종지사),10,36.490395,127.256809
1000번 (반석역~조형아파트),293053001,51016,다정동(대성고등학교),11,36.4938489,127.2565765
1000번 (반석역~조형아파트),293062003,52017,어진중학교(한뜰마을4단지),12,36.4989327,127.2549113
1000번 (반석역~조형아파트),293064138,53034,"가재마을5,8단지",13,36.5004747,127.2498627
1000번 (반석역~조형아파트),293064068,51088,가재마을7단지,14,36.5051417,127.2489733
1000번 (반석역~조형아파트),293064069,51089,"종촌고(가재마을3,4단지)",15,36.5052447,127.2443833
1000번 (반석역~조형아파트),293064158,53044,"가락마을7,8단지",16,36.5055858,127.2395189
1000번 (반석역~조형아파트),293064070,51090,가락마을8단지,17,36.5087662,127.2407144
1000번 (반석역~조형아파트),293064204,53048,"시립도서관,대법원등기정보센터",18,36.511388,127.241627
1000번 (반석역~조형아파트),293064233,53050,"가락마을20,21단지",19,36.5175074,127.2407913
1000번 (반석역~조형아파트),293064095,53007,"두루초,중학교",20,36.5191814,127.2394622
1000번 (반석역~조형아파트),293064097,53009,가락마을22단지,21,36.5200447,127.2405762
1000번 (반석역~조형아파트),293900056,64110,연기리,22,36.5523851,127.2776127
1000번 (반석역~조형아파트),293064249,36140,봉암리,23,36.5612298,127.2844356
1000번 (반석역~조형아파트),293016127,36105,월하리,24,36.57842,127.29276
1000번 (반석역~조형아파트),293001053,11058,자이아파트,25,36.59085,127.29192
1000번 (반석역~조형아파트),293064033,11094,신흥사거리,26,36.5944736,127.2912907
1000번 (반석역~조형아파트),293001075,11085,조치원역뒤편,27,36.60061,127.29509
1000번 (반석역~조형아파트),293001064,11004,세무서 출장민원실,28,36.60607,127.29412
1000번 (반석역~조형아파트),293001058,11002,고려대학교,29,36.61076,127.29344
1000번 (반석역~조형아파트),293001022,11033,신안리마을회관,30,36.61637,127.28719
1000번 (반석역~조형아파트),293001048,11088,홍익대학교,31,36.62178,127.29072
1000번 (반석역~조형아파트),293001039,11081,신안2리(안터),32,36.62633,127.28994
1000번 (반석역~조형아파트),293001031,11048,신안2리입구,33,36.62926,127.28909
1000번 (반석역~조형아파트),293001026,11073,조형아파트,34,36.63471,127.28878
1000번 (조형아파트~반석역),293001027,11074,조형아파트,1,36.63441,127.28884
1000번 (조형아파트~반석역),293001030,11047,신안2리입구,2,36.62874,127.28909
1000번 (조형아파트~반석역),293001034,11082,신안2리(안터),3,36.62652,127.28975
1000번 (조형아파트~반석역),293001043,11089,홍익대학교,4,36.62188,127.29056
1000번 (조형아파트~반석역),293001021,11049,신안리마을회관,5,36.61655,127.28695
1000번 (조형아파트~반석역),293001055,11001,고려대학교,6,36.6108381,127.2930928
1000번 (조형아파트~반석역),293064084,11098,세무서 출장민원실,7,36.6059319,127.2939937
1000번 (조형아파트~반석역),293001072,11055,조치원역뒤편,8,36.599727,127.2951059
1000번 (조형아파트~반석역),293064034,11095,신흥사거리,9,36.5944686,127.2909665
1000번 (조형아파트~반석역),293001052,11059,자이아파트,10,36.59083,127.29173
1000번 (조형아파트~반석역),293016126,36104,월하리,11,36.57825,127.29256
1000번 (조형아파트~반석역),293064250,36141,봉암리,12,36.5618059,127.2851678
1000번 (조형아파트~반석역),293900057,64111,연기리,13,36.553186,127.2781373
1000번 (조형아파트~반석역),293064098,53010,가락마을22단지,14,36.5201811,127.2411119
1000번 (조형아파트~반석역),293064096,53008,"두루초,중학교",15,36.5187165,127.2391789
1000번 (조형아파트~반석역),293064234,53051,"가락마을20,21단지",16,36.5172956,127.240792
1000번 (조형아파트~반석역),293064203,53047,"시립도서관,대법원등기정보센터",17,36.5114233,127.2412918
1000번 (조형아파트~반석역),293064060,51080,가락마을8단지,18,36.5089327,127.2405854
1000번 (조형아파트~반석역),293064205,53049,"가락마을7,8단지",19,36.5051871,127.240274
1000번 (조형아파트~반석역),293064061,51081,"종촌고(가재마을3,4단지)",20,36.5050718,127.2436524
