적재_연월,횡단보도 위치 도로 명칭,횡단보도 소재 도로명 주소,횡단보도 소재 지번 주소,횡단보도 종류 구분 정보,횡단보도 자전거 횡단도 겸용 여부,횡단보도 고원식 적용 여부,횡단보도 위치 위도 좌표정보,횡단보도 위치 경도 좌표정보,횡단보도 위치 도로 차로 수,횡단보도 폭 정보,횡단보도 연장길이 정보,횡단보도 보행자신호등 유무,횡단보도 보행자작동신호기 유무,횡단보도 음향신호기설치 유무,횡단보도 녹색신호 시간,횡단보도 적색신호 시간,횡단보도 교통섬 유무,횡단보도 보도턱낮춤 여부,횡단보도 점자블록여부,횡단보도 집중조명시설 유무,관리기관 명칭,관리기관 전화번호,데이터 작성 기준일자 정보
202604,보듬8로,,세종특별자치시도담동908,1,,N,36.5181370000,127.2619150000,2,5.3,8.5,Y,,,,,N,,N,,세종특별자치시,044-300-5535,2020-01-20
202604,세종로,,세종특별자치시종촌동640,1,,N,36.5052650000,127.2413170000,5,5.3,17.0,Y,,,,,N,,N,,세종특별자치시,044-300-5535,2020-01-20
202604,보듬6로,,세종특별자치시도담동922,1,,N,36.5161020000,127.2626390000,5,5.3,16.9,Y,,,,,N,,N,,세종특별자치시,044-300-5535,2020-01-20
202604,세종로,,세종특별자치시종촌동640,1,,N,36.5050880000,127.2411740000,6,5.3,20.6,Y,,,,,N,,N,,세종특별자치시,044-300-5535,2020-01-20
202604,보듬6로,,세종특별자치시도담동922,1,,N,36.5160050000,127.2625320000,3,5.3,11.5,Y,,,,,N,,N,,세종특별자치시,044-300-5535,2020-01-20
202604,세종로,,세종특별자치시종촌동640,1,,N,36.5052440000,127.2409030000,5,5.3,17.0,Y,,,,,N,,N,,세종특별자치시,044-300-5535,2020-01-20
202604,누리로,,세종특별자치시한솔동1229,1,,N,36.4755200000,127.2526930000,2,5.3,11.8,Y,,,,,N,,N,,세종특별자치시,044-300-5535,2020-01-20
202604,마음로,,세종특별자치시고운동산95,1,,N,36.5194300000,127.2341850000,3,5.3,16.5,Y,,,,,N,,N,,세종특별자치시,044-300-5535,2020-01-20
202604,누리로,,세종특별자치시한솔동1229,1,,Y,36.4800680000,127.2525700000,4,5.3,15.8,Y,,,,,N,,N,,세종특별자치시,044-300-5535,2020-01-20
202604,마음로,,세종특별자치시고운동산95,1,,N,36.5193970000,127.2342810000,5,5.3,10.2,Y,,,,,N,,N,,세종특별자치시,044-300-5535,2020-01-20
202604,어울로,,세종특별자치시한솔동1227,1,,Y,36.4807520000,127.2506080000,7,5.3,24.4,Y,,,,,N,,N,,세종특별자치시,044-300-5535,2020-01-20
202604,마음로,,세종특별자치시고운동산95,1,,N,36.5194750000,127.2342890000,3,5.3,16.6,Y,,,,,N,,N,,세종특별자치시,044-300-5535,2020-01-20
202604,달빛1로,,세종특별자치시아름동1471,1,,N,36.5148740000,127.2457740000,2,5.3,9.7,Y,,,,,N,,N,,세종특별자치시,044-300-5535,2020-01-20
202604,달빛1로,,세종특별자치시아름동1471,1,,N,36.5146870000,127.2456800000,3,5.3,10.2,Y,,,,,N,,N,,세종특별자치시,044-300-5535,2020-01-20
202604,세종로,,세종특별자치시고운동1477,1,,N,36.5173630000,127.2415400000,5,5.3,18.7,Y,,,,,N,,N,,세종특별자치시,044-300-5535,2020-01-20
202604,마음로,,세종특별자치시고운동1366,1,,N,36.5148430000,127.2297770000,6,5.3,16.6,Y,,,,,N,,N,,세종특별자치시,044-300-5535,2020-01-20
202604,마음로,,세종특별자치시고운동1366,1,,N,36.5148530000,127.2297150000,4,5.3,13.1,Y,,,,,N,,N,,세종특별자치시,044-300-5535,2020-01-20
202604,마음로,,세종특별자치시고운동1366,1,,N,36.5151160000,127.2297950000,5,5.3,16.4,Y,,,,,N,,N,,세종특별자치시,044-300-5535,2020-01-20
202604,세종로,,세종특별자치시고운동1477,1,,N,36.5174830000,127.2419660000,5,5.3,19.4,Y,,,,,N,,N,,세종특별자치시,044-300-5535,2020-01-20
202604,세종로,,세종특별자치시고운동1477,1,,N,36.5173550000,127.2419180000,5,5.3,18.3,Y,,,,,N,,N,,세종특별자치시,044-300-5535,2020-01-20
202604,마음로,,세종특별자치시고운동2057,1,,Y,36.5042940000,127.2352680000,4,5.3,13.5,Y,,,,,N,,N,,세종특별자치시,044-300-5535,2020-01-20
