ARS,자치구,정류장이름,POI_total_100m,POI_total_300m,POI_음식_300m,POI_소매_300m,POI_과학·기술_300m,POI_수리·개인_300m,POI_교육_300m,POI_부동산_300m,POI_시설관리·임대_300m,POI_예술·스포츠_300m,POI_보건의료_300m,POI_숙박_300m,POI_total_500m
01111,종로구,통인시장종로구보건소 [01111],97,799,279,212,114,34,48,28,21,8,10,45,1522
01112,종로구,효자동 [01112],62,353,105,82,83,17,23,10,10,3,5,15,954
01113,종로구,사직단.어린이도서관 [01113],42,424,179,60,77,16,31,17,15,7,7,15,1263
01114,종로구,경복궁역1번출구 [01114],173,939,392,125,142,39,53,19,89,24,20,36,1881
01123,종로구,서울역사박물관.경교장.강북삼성병원 [01123],53,491,170,60,121,22,33,13,42,8,22,0,1537
01125,종로구,광화문 [01125],176,1032,386,111,247,23,41,20,152,12,37,3,3027
01127,종로구,서울경찰청.경복궁역 [01127],133,988,427,124,144,48,51,26,93,24,20,31,1914
01128,종로구,사직단 [01128],36,424,180,59,74,15,31,18,16,8,8,15,1367
01129,종로구,광화문광화문빌딩 [01129],62,1182,366,122,300,19,45,25,238,16,47,4,3217
01131,종로구,안국역.종로경찰서.인사동 [01131],83,739,284,287,68,8,23,2,34,7,16,10,2647
01132,은평구,국민은행세검정지점 [01132],52,132,20,30,22,16,25,4,5,7,1,2,309
01133,은평구,세검정초등학교 [01133],9,102,12,20,15,12,26,5,3,5,2,2,331
01134,은평구,세검정.상명대 [01134],17,115,37,20,23,11,5,3,6,3,1,6,238
01135,은평구,상명대입구.석파랑 [01135],23,109,31,21,19,10,3,1,13,3,1,7,216
01136,종로구,하림각 [01136],54,139,20,25,35,17,13,3,16,3,3,4,238
01137,종로구,자하문터널입구.석파정 [01137],30,110,23,27,23,10,11,0,9,3,4,0,262
01144,은평구,세검정초등학교 [01144],21,80,11,15,13,8,18,4,3,4,2,2,314
01150,은평구,구기터널.삼성출판박물관 [01150],49,118,30,22,20,12,8,8,5,7,5,1,185
01152,은평구,구기동 [01152],55,185,40,37,36,21,18,10,8,9,6,0,263
01157,종로구,평창동주민센터 [01157],40,169,42,39,21,13,24,10,4,11,5,0,273
01158,종로구,일성아파트 [01158],4,62,13,8,12,6,8,6,2,5,1,1,164
01159,종로구,롯데아파트 [01159],10,84,19,22,15,6,5,6,5,5,0,1,125
01161,종로구,벽산평창힐스아파트 [01161],8,57,13,5,9,6,8,6,4,4,1,1,152
01162,종로구,예능교회 [01162],42,135,33,25,18,8,21,10,5,11,4,0,271
01167,종로구,독립문역.서대문형무소역사관 [01167],26,228,61,45,13,23,34,15,7,13,15,2,552
01172,종로구,창덕궁.서울돈화문국악당 [01172],75,597,231,122,93,17,30,7,46,15,9,27,1839
01173,종로구,서린동.SK서린빌딩 [01173],102,2027,528,210,455,61,78,44,534,36,74,7,4235
01174,종로구,청계1가.광교 [01174],268,1642,572,234,275,56,128,40,205,67,37,28,4467
01177,중구,청계5가.광장시장 [01177],223,1320,273,735,116,56,14,28,29,17,34,18,2793
01199,종로구,창덕궁.우리소리박물관 [01199],70,569,215,121,88,15,31,8,45,12,6,28,1891
01202,종로구,조계사.종로경찰서 [01202],366,1597,490,370,262,43,64,30,279,14,31,14,4206
01218,중구,현대그룹빌딩 [01218],65,337,104,65,69,24,19,6,24,9,4,13,969
