ARS,자치구,정류장이름,공시지가_원per㎡,PNU,지번,공시지가_주소,공시연도
01111,종로구,통인시장종로구보건소 [01111],11130000.0,1111010500100980006,98-6대,서울특별시 종로구 창성동 98-6,2025
01112,종로구,효자동 [01112],7007000.0,1111010400100680001,68-1 차,서울특별시 종로구 효자동 68-1,2025
01113,종로구,사직단.어린이도서관 [01113],2379000.0,1111011500100010038,1-38 사,서울특별시 종로구 사직동 1-38,2025
01114,종로구,경복궁역1번출구 [01114],5374000.0,1111011400100010001,1-1 도,서울특별시 종로구 내자동 1-1,2025
01123,종로구,서울역사박물관.경교장.강북삼성병원 [01123],11930000.0,1111012100100010015,1-15도,서울특별시 종로구 신문로2가 1-15,2025
01125,종로구,광화문 [01125],14210000.0,1111012000100050004,5-4도,서울특별시 종로구 신문로1가 5-4,2025
01127,종로구,서울경찰청.경복궁역 [01127],29290000.0,1111011400101130002,113-2 대,서울특별시 종로구 내자동 113-2,2025
01128,종로구,사직단 [01128],3920000.0,1111011500100090003,9-3 공,서울특별시 종로구 사직동 9-3,2025
01129,종로구,광화문광화문빌딩 [01129],21360000.0,1111011900100010080,1-80 도,서울특별시 종로구 세종로 1-80,2025
01131,종로구,안국역.종로경찰서.인사동 [01131],23120000.0,1111014100101750003,175-3대,서울특별시 종로구 안국동 175-3,2025
01132,은평구,국민은행세검정지점 [01132],5712000.0,1111018600102410007,241-7대,서울특별시 종로구 신영동 241-7,2025
01133,은평구,세검정초등학교 [01133],1149000.0,1111018600101240001,124-1도,서울특별시 종로구 신영동 124-1,2025
01134,은평구,세검정.상명대 [01134],1395000.0,1111018500100990007,99-7 도,서울특별시 종로구 홍지동 99-7,2025
01135,은평구,상명대입구.석파랑 [01135],4098000.0,1111018500101250000,125대,서울특별시 종로구 홍지동 125,2025
01136,종로구,하림각 [01136],5604000.0,1111018400101850001,185-1대,서울특별시 종로구 부암동 185-1,2025
01137,종로구,자하문터널입구.석파정 [01137],1651000.0,1111018400101620004,162-4 도,서울특별시 종로구 부암동 162-4,2025
01144,은평구,세검정초등학교 [01144],843400.0,1111018600101420001,142-1천,서울특별시 종로구 신영동 142-1,2025
01150,은평구,구기터널.삼성출판박물관 [01150],1578000.0,1111018200101200001,120-1천,서울특별시 종로구 구기동 120-1,2025
01152,은평구,구기동 [01152],5669000.0,1111018200100950027,95-27대,서울특별시 종로구 구기동 95-27,2025
01157,종로구,평창동주민센터 [01157],1882000.0,1111018300101570004,157-4도,서울특별시 종로구 평창동 157-4,2025
01158,종로구,일성아파트 [01158],1682000.0,1111018300101450015,145-15 도,서울특별시 종로구 평창동 145-15,2025
01159,종로구,롯데아파트 [01159],5137000.0,1111018300105770007,577-7 대,서울특별시 종로구 평창동 577-7,2025
01161,종로구,벽산평창힐스아파트 [01161],1716000.0,1111018300100850002,85-2도,서울특별시 종로구 평창동 85-2,2025
01162,종로구,예능교회 [01162],1882000.0,1111018300101570004,157-4도,서울특별시 종로구 평창동 157-4,2025
01167,종로구,독립문역.서대문형무소역사관 [01167],9123000.0,1111018700100890000,89 대,서울특별시 종로구 무악동 89,2025
01172,종로구,창덕궁.서울돈화문국악당 [01172],4544000.0,1111013200100980009,98-9대,서울특별시 종로구 운니동 98-9,2025
01173,종로구,서린동.SK서린빌딩 [01173],15880000.0,1111012300101180003,118-3 도,서울특별시 종로구 서린동 118-3,2025
01174,종로구,청계1가.광교 [01174],10410000.0,1111013500102680000,268 도,서울특별시 종로구 관철동 268,2025
01177,중구,청계5가.광장시장 [01177],6088000.0,1111015800102930001,293-1도,서울특별시 종로구 예지동 293-1,2025
01199,종로구,창덕궁.우리소리박물관 [01199],5429000.0,1111013200100990000,99 도,서울특별시 종로구 운니동 99,2025
01202,종로구,조계사.종로경찰서 [01202],30690000.0,1111012900101100000,110 대,서울특별시 종로구 견지동 110,2025
01218,중구,현대그룹빌딩 [01218],3438000.0,1111016000100010014,1-14도,서울특별시 종로구 연지동 1-14,2025
01219,중구,방송통신대.이화장 [01219],4078000.0,1111016800101990041,199-41도,서울특별시 종로구 동숭동 199-41,2025
01220,성북구,혜화역.마로니에공원 [01220],9550000.0,1111016800100010177,1-177 도,서울특별시 종로구 동숭동 1-177,2025
01221,성북구,혜화역.서울대병원입구 [01221],4078000.0,1111016600100010003,1-3도,서울특별시 종로구 연건동 1-3,2025
01222,중구,방송통신대.이화장 [01222],11980000.0,1111016600101280000,128대,서울특별시 종로구 연건동 128,2025
01224,중구,창경궁.서울대학교병원 [01224],2648000.0,1111016600100280037,28-37 대,서울특별시 종로구 연건동 28-37,2025
01228,성북구,혜화역.서울연극센터 [01228],7696000.0,1111016900101420001,142-1도,서울특별시 종로구 혜화동 142-1,2025
01229,성북구,혜화역.동성중고 [01229],4011000.0,1111016900100900014,90-14도,서울특별시 종로구 혜화동 90-14,2025
01231,성북구,종로구민회관.창신동두산아파트 [01231],4592000.0,1111017400100740007,74-7 도,서울특별시 종로구 창신동 74-7,2025
01240,성북구,동묘역.롯데캐슬천지인 [01240],5462000.0,1111017500100810039,81-39 도,서울특별시 종로구 숭인동 81-39,2025
01243,성북구,신설동로터리 [01243],5388000.0,1111017500113110000,1311도,서울특별시 종로구 숭인동 1311,2025
01250,종로구,서울역사박물관.김구집무실(경교장) [01250],40440000.0,1111012000102260000,226대,서울특별시 종로구 신문로1가 226,2025
01287,은평구,상명대입구.석파랑 [01287],1395000.0,1111018500100990007,99-7 도,서울특별시 종로구 홍지동 99-7,2025
01293,종로구,평창동삼성아파트 [01293],5753000.0,1111018300105960000,596대,서울특별시 종로구 평창동 596,2025
01683,종로구,✈️ 종로2가 YMCA [01683],55580000.0,1111013800100090000,9대,서울특별시 종로구 종로2가 9,2025
01762,종로구,✈️ 광화문 [01762],14210000.0,1111012000100050004,5-4도,서울특별시 종로구 신문로1가 5-4,2025
01763,종로구,✈️ 종로1가 [01763],22180000.0,1111012600100540000,54 도,서울특별시 종로구 종로1가 54,2025
01767,중구,✈️ 종로3가 [01767],12120000.0,1111015600100450004,45-4 도,서울특별시 종로구 종로3가 45-4,2025
02101,용산구,만리동고개 [02101],3758000.0,1114017400102260002,226-2도,서울특별시 중구 만리동2가 226-2,2025
02102,용산구,손기정체육공원입구 [02102],4392000.0,1114017400100330001,33-1도,서울특별시 중구 만리동2가 33-1,2025
02105,용산구,서울역서부 [02105],14570000.0,1114012000101220011,122-11철,서울특별시 중구 봉래동2가 122-11,2025
02106,종로구,중림동교차로 [02106],12070000.0,1114017100101280031,128-31대,서울특별시 중구 중림동 128-31,2025
02107,종로구,종근당.충정로역 [02107],3955000.0,1114017100101560151,156-151도,서울특별시 중구 중림동 156-151,2025
02108,종로구,한국경제신문사 [02108],10380000.0,1114017100104710000,471 대,서울특별시 중구 중림동 471,2025
02110,종로구,경찰청.동북아역사재단 [02110],6560000.0,1114016900101800001,180-1도,서울특별시 중구 의주로1가 180-1,2025
02116,종로구,염천교 [02116],30870000.0,1114011900100250000,25대,서울특별시 중구 봉래동1가 25,2025
02117,종로구,숭례문 [02117],24670000.0,1114011800100060003,6-3대,서울특별시 중구 남대문로5가 6-3,2025
02118,종로구,숭례문.한국일보 [02118],8111000.0,1114011800100030008,3-8도,서울특별시 중구 남대문로5가 3-8,2025
02122,종로구,숭례문 [02122],17480000.0,1114011800100840015,84-15도,서울특별시 중구 남대문로5가 84-15,2025
02123,종로구,숭례문 [02123],17480000.0,1114011800100840015,84-15도,서울특별시 중구 남대문로5가 84-15,2025
02125,종로구,숭례문남산방향 [02125],16680000.0,1114011800101200000,120대,서울특별시 중구 남대문로5가 120,2025
02126,종로구,남대문시장 [02126],26160000.0,1114012100102020024,202-24대,서울특별시 중구 회현동1가 202-24,2025
02128,종로구,시청앞 [02128],15950000.0,1114011400101130001,113-1도,서울특별시 중구 태평로2가 113-1,2025
02132,종로구,시청앞 [02132],50310000.0,1114011400103100000,310 대,서울특별시 중구 태평로2가 310,2025
02146,종로구,남대문시장.회현역 [02146],19660000.0,1114011200101230003,123-3대,서울특별시 중구 남창동 123-3,2025
02147,종로구,남산3호터널 [02147],23470000.0,1114012200100890000,89 대,서울특별시 중구 회현동2가 89,2025
02148,종로구,남산3호터널.서울애니메이션센터 [02148],14480000.0,1114012200100730000,73도,서울특별시 중구 회현동2가 73,2025
02150,종로구,퇴계로2가.명동역 [02150],141600000.0,1114012400100240001,24-1대,서울특별시 중구 충무로1가 24-1,2025
02151,중구,퇴계로3가.한옥마을.한국의집 [02151],5794000.0,1114013700100130002,13-2도,서울특별시 중구 필동1가 13-2,2025
02152,중구,퇴계로3가.한옥마을.한국의집 [02152],16730000.0,1114013700100370003,37-3대,서울특별시 중구 필동1가 37-3,2025
02153,중구,충무로역2번출구.대한극장앞 [02153],6355000.0,1114013800100160002,16-2도,서울특별시 중구 필동2가 16-2,2025
02156,종로구,✈️ 서울로얄호텔 [02156],64990000.0,1114010500101810000,181대,서울특별시 중구 을지로2가 181,2025
