ARS,자치구,정류장이름,교차로수_300m,가로망연장_300m,간선도로연장_300m,교차로수_500m,가로망연장_500m,간선도로연장_500m,간선도로거리_m
01111,종로구,통인시장종로구보건소 [01111],12,2701.0,594.0,31,6702.0,1255.0,22.9
01112,종로구,효자동 [01112],16,3097.0,659.0,27,5827.0,1062.0,19.5
01113,종로구,사직단.어린이도서관 [01113],33,5170.0,1508.0,69,10978.0,3162.0,8.8
01114,종로구,경복궁역1번출구 [01114],23,4128.0,1730.0,43,8818.0,2757.0,6.7
01123,종로구,서울역사박물관.경교장.강북삼성병원 [01123],16,2861.0,1175.0,31,7859.0,2078.0,13.7
01125,종로구,광화문 [01125],37,5492.0,2913.0,87,13439.0,5708.0,11.3
01127,종로구,서울경찰청.경복궁역 [01127],21,4093.0,1707.0,46,8959.0,2801.0,23.8
01128,종로구,사직단 [01128],32,4895.0,1508.0,64,10497.0,3204.0,18.0
01129,종로구,광화문광화문빌딩 [01129],52,6682.0,3640.0,90,13666.0,6335.0,15.1
01131,종로구,안국역.종로경찰서.인사동 [01131],20,2756.0,1825.0,56,8874.0,3146.0,22.5
01132,은평구,국민은행세검정지점 [01132],25,4455.0,1201.0,71,11872.0,1929.0,16.0
01133,은평구,세검정초등학교 [01133],26,4529.0,1170.0,64,11230.0,3174.0,8.3
01134,은평구,세검정.상명대 [01134],25,4387.0,1461.0,49,9265.0,2655.0,12.3
01135,은평구,상명대입구.석파랑 [01135],19,3931.0,1640.0,53,11042.0,4368.0,18.6
01136,종로구,하림각 [01136],21,5063.0,2379.0,61,11989.0,5379.0,14.6
01137,종로구,자하문터널입구.석파정 [01137],37,6349.0,2695.0,64,13296.0,4414.0,12.6
01144,은평구,세검정초등학교 [01144],24,4532.0,1170.0,63,11359.0,3377.0,18.0
01150,은평구,구기터널.삼성출판박물관 [01150],23,3786.0,1107.0,38,7359.0,1708.0,10.5
01152,은평구,구기동 [01152],29,4067.0,873.0,55,9885.0,1911.0,21.3
01157,종로구,평창동주민센터 [01157],15,3212.0,1394.0,46,9247.0,2691.0,11.4
01158,종로구,일성아파트 [01158],15,3663.0,1300.0,43,9554.0,2633.0,21.3
01159,종로구,롯데아파트 [01159],23,4058.0,895.0,52,11424.0,2767.0,16.2
01161,종로구,벽산평창힐스아파트 [01161],9,3164.0,1521.0,29,8048.0,2775.0,13.0
01162,종로구,예능교회 [01162],12,2928.0,1510.0,43,8702.0,2771.0,14.7
01167,종로구,독립문역.서대문형무소역사관 [01167],55,6834.0,3610.0,123,16062.0,6498.0,11.0
01172,종로구,창덕궁.서울돈화문국악당 [01172],37,4684.0,1564.0,67,9720.0,2970.0,19.4
01173,종로구,서린동.SK서린빌딩 [01173],66,7849.0,4269.0,126,17010.0,9126.0,8.2
01174,종로구,청계1가.광교 [01174],68,8124.0,4217.0,165,20232.0,9318.0,3.9
01177,중구,청계5가.광장시장 [01177],51,6637.0,3809.0,145,17976.0,8215.0,10.5
01199,종로구,창덕궁.우리소리박물관 [01199],42,5026.0,1683.0,68,10063.0,3134.0,11.2
01202,종로구,조계사.종로경찰서 [01202],19,3338.0,1496.0,104,14161.0,7001.0,18.3
01218,중구,현대그룹빌딩 [01218],27,3559.0,1206.0,99,11274.0,3354.0,13.4
01219,중구,방송통신대.이화장 [01219],6,1294.0,981.0,45,6121.0,2353.0,21.6
01220,성북구,혜화역.마로니에공원 [01220],2,942.0,594.0,21,3901.0,2366.0,21.4
01221,성북구,혜화역.서울대병원입구 [01221],1,942.0,593.0,23,4751.0,2766.0,20.4
01222,중구,방송통신대.이화장 [01222],7,1415.0,1041.0,50,6936.0,2802.0,19.6
01224,중구,창경궁.서울대학교병원 [01224],5,2216.0,1722.0,34,6138.0,3770.0,11.2
01228,성북구,혜화역.서울연극센터 [01228],31,3700.0,1759.0,90,9814.0,2857.0,8.4
01229,성북구,혜화역.동성중고 [01229],35,3871.0,1724.0,105,10772.0,2840.0,6.8
01231,성북구,종로구민회관.창신동두산아파트 [01231],105,8422.0,1742.0,271,24352.0,4169.0,13.8
01240,성북구,동묘역.롯데캐슬천지인 [01240],105,8434.0,1725.0,269,24068.0,4083.0,11.2
01243,성북구,신설동로터리 [01243],130,9719.0,3481.0,293,25041.0,6614.0,6.2
01250,종로구,서울역사박물관.김구집무실(경교장) [01250],17,3245.0,1226.0,44,8613.0,3378.0,14.6
01287,은평구,상명대입구.석파랑 [01287],21,4006.0,1560.0,50,10701.0,4157.0,6.7
01293,종로구,평창동삼성아파트 [01293],21,3870.0,902.0,46,10818.0,2976.0,11.7
01683,종로구,✈️ 종로2가 YMCA [01683],47,6793.0,3639.0,135,18118.0,7907.0,14.7
01762,종로구,✈️ 광화문 [01762],36,5514.0,2878.0,82,13221.0,5627.0,7.6
01763,종로구,✈️ 종로1가 [01763],59,7148.0,3944.0,119,16177.0,8005.0,13.2
01767,중구,✈️ 종로3가 [01767],53,6728.0,2452.0,154,18328.0,6937.0,7.2
02101,용산구,만리동고개 [02101],86,7532.0,1221.0,239,19895.0,2124.0,6.5
02102,용산구,손기정체육공원입구 [02102],66,6959.0,1881.0,146,15561.0,3305.0,11.2
02105,용산구,서울역서부 [02105],41,5077.0,2120.0,129,16144.0,7039.0,15.4
02106,종로구,중림동교차로 [02106],29,4911.0,2647.0,126,16494.0,8006.0,18.4
02107,종로구,종근당.충정로역 [02107],54,6181.0,2278.0,177,18203.0,4958.0,9.9
02108,종로구,한국경제신문사 [02108],39,5324.0,2774.0,116,16290.0,7136.0,22.9
02110,종로구,경찰청.동북아역사재단 [02110],36,5043.0,2525.0,115,15019.0,6877.0,7.0
02116,종로구,염천교 [02116],53,6991.0,4018.0,119,16889.0,10074.0,17.5
02117,종로구,숭례문 [02117],58,7887.0,4997.0,127,17542.0,9925.0,14.9
02118,종로구,숭례문.한국일보 [02118],62,8044.0,5225.0,126,17486.0,9939.0,14.2
02122,종로구,숭례문 [02122],61,8220.0,5268.0,131,17640.0,9736.0,12.8
02123,종로구,숭례문 [02123],54,7828.0,4877.0,127,17325.0,9616.0,9.4
02125,종로구,숭례문남산방향 [02125],56,7118.0,4202.0,132,17934.0,8896.0,21.7
02126,종로구,남대문시장 [02126],54,6405.0,3314.0,164,18374.0,8057.0,22.6
02128,종로구,시청앞 [02128],51,6096.0,3025.0,115,15002.0,7537.0,12.2
02132,종로구,시청앞 [02132],52,6213.0,2864.0,103,13843.0,6969.0,20.5
02146,종로구,남대문시장.회현역 [02146],47,6469.0,2802.0,152,18409.0,9156.0,12.7
02147,종로구,남산3호터널 [02147],70,7627.0,2451.0,137,16483.0,5628.0,16.7
02148,종로구,남산3호터널.서울애니메이션센터 [02148],80,7908.0,2898.0,161,18279.0,5651.0,7.1
02150,종로구,퇴계로2가.명동역 [02150],85,7372.0,2396.0,183,20235.0,6786.0,19.5
02151,중구,퇴계로3가.한옥마을.한국의집 [02151],71,8885.0,3691.0,188,19993.0,6578.0,16.3
02152,중구,퇴계로3가.한옥마을.한국의집 [02152],65,7950.0,3299.0,189,20314.0,6252.0,14.9
02153,중구,충무로역2번출구.대한극장앞 [02153],89,7796.0,1489.0,199,20227.0,5562.0,7.0
02156,종로구,✈️ 서울로얄호텔 [02156],74,7814.0,3590.0,170,20161.0,8138.0,17.1
02157,종로구,을지로입구.시청입구 [02157],61,6515.0,3208.0,162,19219.0,9208.0,13.7
02159,중구,✈️ 을지로2가 [02159],66,7477.0,3565.0,182,21477.0,7858.0,8.5
02160,중구,을지로3가 [02160],64,7371.0,3762.0,197,21789.0,8362.0,8.7
02165,중구,방산시장.을지로4가역6번출구 [02165],71,8083.0,3417.0,195,20913.0,8839.0,7.2
02171,중구,광희동 [02171],75,7749.0,3883.0,196,19927.0,6524.0,22.2
02172,중구,을지로6가.국립중앙의료원 [02172],60,6547.0,3038.0,165,18652.0,8509.0,6.6
02179,중구,성동공업고등학교(무궁화회관) [02179],79,7529.0,1961.0,233,22506.0,5028.0,19.7
02189,중구,신당동.청구역 [02189],65,7826.0,863.0,181,20285.0,2111.0,15.7
02190,중구,신당동.청구역 [02190],69,7763.0,840.0,192,21060.0,1921.0,17.2
02195,중구,약수역8번출구.신당사회복지관 [02195],80,8182.0,1334.0,193,19611.0,2418.0,12.9
02196,중구,약수역7번출구.약수동주민센터 [02196],70,7467.0,1191.0,188,18992.0,2347.0,20.5
02198,중구,송도병원앞 [02198],57,5884.0,715.0,109,12141.0,1457.0,14.1
02199,중구,약수역1번출구 [02199],91,8509.0,1242.0,183,19130.0,2819.0,14.8
02201,중구,장충체육관앞 [02201],58,6248.0,1157.0,199,19146.0,2995.0,23.9
02202,중구,장충체육관앞 [02202],54,6026.0,1219.0,200,19127.0,3139.0,19.1
02205,중구,퇴계로6가 [02205],82,8004.0,2398.0,227,22203.0,6945.0,14.6
02206,중구,퇴계로6가 [02206],85,8015.0,2059.0,220,21622.0,6760.0,17.5
02212,중구,청구역 [02212],55,7066.0,978.0,211,21967.0,1711.0,16.3
02215,종로구,백범광장 [02215],33,4913.0,1867.0,112,15842.0,6914.0,15.1
02224,종로구,청계1가.광교 [02224],59,7581.0,3934.0,161,19492.0,9610.0,10.7
02240,중구,청계3가.관수교 [02240],54,6926.0,3325.0,192,21454.0,8600.0,2.3
02252,성동구,신당파인힐하나유보라 [02252],60,6293.0,1960.0,163,16923.0,4512.0,7.8
02257,성동구,황학동주민센터 [02257],84,7477.0,2282.0,231,20839.0,4511.0,12.7
02258,성동구,신당초등학교앞 [02258],66,6979.0,1585.0,183,18140.0,3848.0,12.4
02259,성동구,금호베스트빌.삼성래미안아파트 [02259],30,4015.0,616.0,140,15025.0,2155.0,14.2
02273,성동구,황학동롯데캐슬 [02273],79,8040.0,2433.0,279,24374.0,7287.0,9.8
02275,중구,광희문.광희동사거리 [02275],88,8087.0,3172.0,223,22158.0,5426.0,18.6
02277,성동구,황학동롯데캐슬 [02277],67,7057.0,2425.0,218,21771.0,6476.0,9.9
02281,종로구,서대문역사거리.농협중앙회 [02281],45,5462.0,2500.0,78,11920.0,4757.0,14.5
02283,종로구,북창동.남대문시장 [02283],47,6116.0,3340.0,143,17918.0,8779.0,9.4
02286,종로구,시청앞.덕수궁 [02286],36,4642.0,2555.0,109,14303.0,6590.0,24.4
02662,종로구,✈️ 시청(덕수궁) [02662],36,4579.0,2514.0,112,14421.0,6708.0,17.6
02665,종로구,✈️ 서울역 [02665],52,7230.0,4263.0,125,17113.0,9578.0,15.7
02679,중구,✈️ 호텔피제이(충무로역) [02679],101,8580.0,1792.0,202,20129.0,4753.0,10.6
02706,종로구,✈️ 시청.서울신문사 [02706],56,6663.0,3697.0,113,15140.0,7562.0,12.4
03001,용산구,한강대교북단.LG유플러스 [03001],65,7352.0,2358.0,110,15668.0,6107.0,3.8
03002,용산구,한강대교북단.LG유플러스 [03002],68,7384.0,2209.0,110,15588.0,5851.0,5.8
03119,용산구,신용산역3번출구 [03119],31,5014.0,1482.0,86,11373.0,2929.0,8.7
03122,용산구,한강대교북단 [03122],60,6672.0,1541.0,114,15098.0,5109.0,12.9
03129,용산구,숙대입구역.청파동주민센터 [03129],90,8279.0,2590.0,191,18959.0,4673.0,11.6
03130,용산구,남영역 [03130],48,5740.0,2321.0,142,16072.0,5917.0,16.3
03136,용산구,용산전자상가.전자랜드 [03136],41,4424.0,2006.0,120,13505.0,4584.0,15.4
03138,용산구,원효대교북단 [03138],56,6096.0,3239.0,103,13693.0,6160.0,17.9
03140,용산구,용산경찰서 [03140],61,6317.0,1652.0,146,17038.0,6248.0,18.9
03146,용산구,원효로3가 [03146],46,5108.0,1728.0,166,17138.0,4391.0,12.4
03148,중구,용암초등학교입구.이태원주공아파트 [03148],88,9307.0,3137.0,179,18156.0,4909.0,5.2
03150,용산구,용산한신아파트 [03150],46,4684.0,1330.0,145,14499.0,3036.0,17.2
03151,용산구,해방촌 [03151],32,3678.0,1285.0,101,11449.0,3528.0,9.7
03153,용산구,용산구청.크라운호텔 [03153],21,2744.0,918.0,71,8916.0,2803.0,5.4
03154,용산구,용산구청 [03154],12,1937.0,779.0,52,7236.0,2087.0,19.6
03155,용산구,한강중학교 [03155],14,2389.0,1366.0,64,8992.0,2739.0,12.9
03156,용산구,한강중학교앞 [03156],19,3322.0,1843.0,77,10974.0,3658.0,22.0
03157,용산구,서빙고역1번출구 [03157],15,3458.0,3162.0,48,12127.0,8974.0,15.2
03158,중구,장충단로입구 [03158],25,4483.0,2952.0,57,9984.0,6184.0,20.5
03159,중구,남산예술원 [03159],37,5827.0,3518.0,56,10391.0,6760.0,6.5
03160,중구,서울중부기술교육원.블루스퀘어 [03160],39,6931.0,4189.0,72,12235.0,6465.0,11.2
03161,중구,서울시중부기술교육원.블루스퀘어 [03161],37,6860.0,4168.0,79,12989.0,6449.0,9.0
03166,중구,한남5거리 [03166],74,8982.0,3165.0,121,19324.0,8960.0,4.7
03171,중구,보성여중고입구 [03171],90,8435.0,2059.0,195,19882.0,5402.0,5.4
03172,용산구,보성여중고입구 [03172],95,8763.0,1999.0,198,20108.0,5323.0,15.8
03173,중구,남산체육관 [03173],30,4152.0,916.0,115,14275.0,4493.0,10.9
03175,중구,하얏트호텔 [03175],27,3246.0,994.0,77,10761.0,2903.0,10.4
03176,중구,하얏트호텔 [03176],21,2829.0,893.0,101,13881.0,4522.0,14.4
03178,용산구,용마루고개.효창파크푸르지오아파트 [03178],64,6730.0,1786.0,178,17931.0,3052.0,12.9
03180,용산구,효창공원앞역 [03180],92,7837.0,1933.0,221,20378.0,3830.0,6.1
03184,용산구,전쟁기념관 [03184],18,2978.0,1249.0,48,7135.0,3374.0,15.6
03185,용산구,전쟁기념관 [03185],35,4762.0,2093.0,66,9600.0,4464.0,9.9
03187,용산구,녹사평역 [03187],14,2718.0,2065.0,53,7196.0,3473.0,19.8
03198,용산구,서울역 [03198],43,5925.0,1890.0,139,17378.0,7147.0,21.7
03205,용산구,용산중고 [03205],43,4265.0,883.0,159,14721.0,1878.0,11.6
03206,용산구,남영동주민센터 [03206],44,4403.0,888.0,158,15151.0,2871.0,12.7
03207,용산구,남영동주민센터 [03207],46,4426.0,781.0,142,14783.0,3900.0,8.7
03210,중구,한남시범아파트 [03210],21,3973.0,769.0,56,11424.0,4263.0,18.8
03212,중구,한남동 [03212],60,7985.0,3108.0,124,19081.0,7610.0,10.4
03213,중구,한남동 [03213],63,8256.0,3111.0,125,19364.0,8088.0,18.2
03214,용산구,이촌동동부센트레빌 [03214],19,4882.0,2459.0,73,13073.0,6595.0,64.7
03215,용산구,이촌동두산위브트레지움.한강대우아파트 [03215],25,5728.0,2344.0,64,12258.0,5439.0,174.4
03220,용산구,신용산초등학교 [03220],11,2964.0,678.0,32,8267.0,3744.0,268.4
03221,용산구,중경고등학교.이촌동강촌아파트 [03221],10,3304.0,870.0,32,8533.0,4227.0,257.6
03223,용산구,이촌동현대아파트 [03223],16,4000.0,1405.0,30,9719.0,5537.0,239.4
03225,용산구,서빙고신동아아파트 [03225],16,6106.0,4468.0,28,10376.0,7653.0,121.5
03228,용산구,손기정체육공원 [03228],69,7196.0,1976.0,143,15391.0,3324.0,10.9
03236,용산구,효창공원후문 [03236],73,5448.0,0.0,226,18367.0,1529.0,333.9
03239,용산구,효창운동장.효창동주민센터 [03239],64,6171.0,39.0,154,15437.0,2126.0,299.2
03243,용산구,도래삼성래미안아파트 [03243],50,6053.0,1763.0,177,18033.0,3054.0,14.1
03244,용산구,도원삼성래미안아파트 [03244],49,5948.0,1705.0,176,17908.0,3033.0,12.7
03252,용산구,신용산.지하차도 [03252],22,3872.0,1189.0,60,9652.0,2644.0,14.6
03253,용산구,신용산역 [03253],39,5180.0,1561.0,79,11860.0,3241.0,12.2
03256,용산구,용산푸르지오써밋 [03256],44,5403.0,1365.0,85,11322.0,2810.0,99.7
03258,용산구,용산역광장앞 [03258],32,4813.0,1542.0,83,11263.0,2922.0,89.3
03259,용산구,용산역사박물관.용산철도고등학교 [03259],52,5972.0,1571.0,94,12800.0,3377.0,20.5
03260,용산구,용산역사박물관.용산철도고등학교 [03260],35,4396.0,1417.0,92,12958.0,3148.0,15.2
03261,용산구,용산세무서 [03261],23,3419.0,595.0,64,10396.0,3108.0,16.4
03264,용산구,이촌역 [03264],15,2801.0,611.0,29,5676.0,1018.0,15.6
03265,용산구,국립중앙박물관용산가족공원 [03265],11,2583.0,838.0,18,6001.0,1991.0,16.9
03266,용산구,국립중앙박물관용산가족공원 [03266],6,2132.0,919.0,18,6356.0,2497.0,24.1
03267,용산구,서빙고역교차로 [03267],16,2936.0,2620.0,51,12045.0,8996.0,10.0
03272,용산구,서빙고동 [03272],36,7701.0,5627.0,71,14976.0,9516.0,8.5
03273,용산구,서빙고동주민센터 [03273],54,9112.0,5897.0,90,16874.0,9743.0,6.7
03274,용산구,동빙고동 [03274],56,9148.0,5476.0,89,16647.0,9433.0,7.3
03275,용산구,동빙고동 [03275],58,9192.0,4955.0,90,16792.0,9483.0,12.5
03276,용산구,보광신동아아파트삼성리버빌아파트 [03276],43,6410.0,3970.0,101,13770.0,6471.0,10.1
03277,용산구,보광동신동아아파트 [03277],55,7032.0,3715.0,123,14856.0,6187.0,7.6
03281,용산구,한국폴리텍1대학 [03281],23,2845.0,596.0,97,10447.0,1469.0,12.8
03285,중구,한남역.용산노인종합복지관 [03285],63,6971.0,3420.0,108,16999.0,8311.0,7.5
03286,중구,한남역.용산노인종합복지관 [03286],57,8409.0,4782.0,104,16822.0,8840.0,11.3
03287,용산구,이촌119안전센터.성촌공원 [03287],42,7169.0,4972.0,89,13501.0,8070.0,12.1
03288,용산구,성촌공원.포르쉐센터용산 [03288],45,6696.0,4428.0,90,13128.0,7507.0,127.4
03290,용산구,이촌2동주민센터 [03290],27,4495.0,1669.0,59,11279.0,6670.0,153.0
03292,용산구,이촌2동대림아파트.새남터성지 [03292],19,5212.0,2062.0,54,10249.0,4261.0,195.7
03293,용산구,이촌2동대림아파트.새남터성지 [03293],19,5349.0,2202.0,51,10159.0,4321.0,174.4
03297,용산구,청암동강변삼성아파트 [03297],21,4556.0,2292.0,66,12254.0,4789.0,9.4
03298,용산구,청암동강변삼성아파트 [03298],16,4398.0,2362.0,59,12224.0,5768.0,15.2
03300,용산구,원효2동산호아파트 [03300],21,4456.0,2308.0,100,15119.0,7908.0,6.6
03301,용산구,원효로풍전아파트 [03301],62,7954.0,4709.0,111,15556.0,7613.0,17.2
03303,용산구,원효풍전아파트 [03303],68,6841.0,3140.0,119,14759.0,5830.0,9.5
03309,용산구,신창동세방아파트 [03309],54,5926.0,0.0,140,15765.0,3425.0,331.6
03319,중구,순천향병원입구 [03319],63,7833.0,3240.0,120,17462.0,7275.0,8.0
03324,중구,한남동하이페리온 [03324],20,4028.0,3076.0,65,10278.0,6716.0,12.2
03326,용산구,문배동이안아파트앞 [03326],43,5992.0,3312.0,114,15345.0,7282.0,19.0
03328,용산구,삼각지역11번출구 [03328],39,5416.0,2853.0,69,10514.0,5509.0,5.0
03331,용산구,원효대교북단 [03331],56,6603.0,3461.0,113,14417.0,6583.0,16.7
03332,용산구,문배동이안아파트앞 [03332],43,6328.0,3703.0,118,15577.0,7451.0,4.8
03335,용산구,숙명여대입구 [03335],96,8442.0,2207.0,183,18238.0,4498.0,80.2
03340,동작구,노들섬 [03340],4,1272.0,1272.0,10,4545.0,4545.0,5.7
03341,동작구,노들섬 [03341],4,1272.0,1272.0,9,4336.0,4336.0,11.8
03343,중구,용암초등학교.이태원2동주민센터 [03343],34,5382.0,2707.0,113,14111.0,4808.0,12.6
03345,용산구,서울역공항철도15번출구.국립극단 [03345],59,5624.0,1868.0,154,17619.0,5355.0,14.1
03347,중구,남산도서관 [03347],20,4892.0,3073.0,83,13768.0,5660.0,11.6
03561,용산구,신용산역 [03561],37,5256.0,1540.0,83,11888.0,3276.0,11.7
