ARS,자치구,정류장이름,승차_일평균,하차_일평균,승하차_일평균,경유노선수
01111,종로구,통인시장종로구보건소 [01111],612.2,1234.6,1846.8,7.0
01112,종로구,효자동 [01112],464.0,1127.7,1591.7,7.0
01113,종로구,사직단.어린이도서관 [01113],1317.4,677.1,1994.5,7.0
01114,종로구,경복궁역1번출구 [01114],3724.6,1837.7,5562.3,6.0
01123,종로구,서울역사박물관.경교장.강북삼성병원 [01123],930.0,989.2,1919.3,7.0
01125,종로구,광화문 [01125],182.4,51.4,233.8,2.0
01127,종로구,서울경찰청.경복궁역 [01127],1647.1,3079.5,4726.6,8.0
01128,종로구,사직단 [01128],677.7,2387.3,3065.0,8.0
01129,종로구,광화문광화문빌딩 [01129],192.2,301.8,494.0,3.0
01131,종로구,안국역.종로경찰서.인사동 [01131],1098.9,1108.7,2207.6,5.0
01132,은평구,국민은행세검정지점 [01132],411.5,315.8,727.3,4.0
01133,은평구,세검정초등학교 [01133],1352.8,734.1,2086.9,7.0
01134,은평구,세검정.상명대 [01134],611.9,417.9,1029.8,3.0
01135,은평구,상명대입구.석파랑 [01135],220.4,135.4,355.8,3.0
01136,종로구,하림각 [01136],732.7,326.1,1058.8,7.0
01137,종로구,자하문터널입구.석파정 [01137],688.0,306.8,994.7,6.0
01144,은평구,세검정초등학교 [01144],1130.4,1327.6,2457.9,8.0
01150,은평구,구기터널.삼성출판박물관 [01150],576.7,177.6,754.3,3.0
01152,은평구,구기동 [01152],1113.1,422.0,1535.2,5.0
01157,종로구,평창동주민센터 [01157],1248.5,433.0,1681.4,6.0
01158,종로구,일성아파트 [01158],485.3,230.6,716.0,6.0
01159,종로구,롯데아파트 [01159],836.9,324.6,1161.5,6.0
01161,종로구,벽산평창힐스아파트 [01161],144.0,459.5,603.5,6.0
01162,종로구,예능교회 [01162],332.2,508.5,840.8,6.0
01167,종로구,독립문역.서대문형무소역사관 [01167],527.9,662.1,1189.9,3.0
01172,종로구,창덕궁.서울돈화문국악당 [01172],1785.6,2884.8,4670.5,10.0
01173,종로구,서린동.SK서린빌딩 [01173],298.9,220.1,519.0,1.0
01174,종로구,청계1가.광교 [01174],42.8,70.1,112.9,1.0
01177,중구,청계5가.광장시장 [01177],93.7,103.6,197.3,1.0
01199,종로구,창덕궁.우리소리박물관 [01199],2334.1,1617.4,3951.6,10.0
01202,종로구,조계사.종로경찰서 [01202],1166.4,1661.9,2828.3,6.0
01218,중구,현대그룹빌딩 [01218],695.7,969.0,1664.7,7.0
01219,중구,방송통신대.이화장 [01219],2366.6,3061.4,5428.0,19.0
01220,성북구,혜화역.마로니에공원 [01220],3180.6,3914.8,7095.5,19.0
01221,성북구,혜화역.서울대병원입구 [01221],3181.0,1120.6,4301.6,8.0
01222,중구,방송통신대.이화장 [01222],571.7,433.9,1005.6,5.0
01224,중구,창경궁.서울대학교병원 [01224],1026.9,1683.3,2710.2,5.0
01228,성북구,혜화역.서울연극센터 [01228],1111.4,1540.3,2651.7,5.0
01229,성북구,혜화역.동성중고 [01229],3702.2,1723.4,5425.6,16.0
01231,성북구,종로구민회관.창신동두산아파트 [01231],433.0,677.2,1110.3,2.0
01240,성북구,동묘역.롯데캐슬천지인 [01240],2267.1,546.7,2813.8,3.0
01243,성북구,신설동로터리 [01243],986.6,2212.1,3198.8,8.0
01250,종로구,서울역사박물관.김구집무실(경교장) [01250],146.0,339.1,485.1,2.0
01287,은평구,상명대입구.석파랑 [01287],833.1,323.9,1157.0,4.0
01293,종로구,평창동삼성아파트 [01293],187.2,577.4,764.7,6.0
01683,종로구,✈️ 종로2가 YMCA [01683],572.7,416.9,989.5,2.0
01762,종로구,✈️ 광화문 [01762],,,,
01763,종로구,✈️ 종로1가 [01763],970.4,506.1,1476.5,3.0
01767,중구,✈️ 종로3가 [01767],,,,
02101,용산구,만리동고개 [02101],1245.8,1032.2,2278.1,5.0
02102,용산구,손기정체육공원입구 [02102],635.3,789.8,1425.0,6.0
02105,용산구,서울역서부 [02105],514.4,1441.9,1956.3,7.0
02106,종로구,중림동교차로 [02106],335.9,459.2,795.2,6.0
02107,종로구,종근당.충정로역 [02107],157.3,338.5,495.8,4.0
02108,종로구,한국경제신문사 [02108],327.7,375.7,703.4,4.0
02110,종로구,경찰청.동북아역사재단 [02110],1559.9,1493.2,3053.1,16.0
02116,종로구,염천교 [02116],681.7,547.8,1229.4,10.0
02117,종로구,숭례문 [02117],111.6,58.4,170.0,1.0
02118,종로구,숭례문.한국일보 [02118],742.8,390.3,1133.1,4.0
02122,종로구,숭례문 [02122],1461.7,1939.6,3401.3,19.0
02123,종로구,숭례문 [02123],1753.2,751.7,2504.9,10.0
02125,종로구,숭례문남산방향 [02125],878.3,69.9,948.2,2.0
02126,종로구,남대문시장 [02126],474.2,422.7,896.9,2.0
02128,종로구,시청앞 [02128],2743.8,3400.2,6144.0,19.0
02132,종로구,시청앞 [02132],1325.0,1351.2,2676.1,11.0
02146,종로구,남대문시장.회현역 [02146],1231.9,2190.9,3422.7,10.0
02147,종로구,남산3호터널 [02147],675.4,729.9,1405.4,4.0
02148,종로구,남산3호터널.서울애니메이션센터 [02148],730.2,1482.1,2212.3,5.0
02150,종로구,퇴계로2가.명동역 [02150],768.6,634.8,1403.4,2.0
02151,중구,퇴계로3가.한옥마을.한국의집 [02151],1545.2,967.9,2513.2,9.0
02152,중구,퇴계로3가.한옥마을.한국의집 [02152],780.8,783.4,1564.2,6.0
02153,중구,충무로역2번출구.대한극장앞 [02153],2376.0,1089.7,3465.7,7.0
02156,종로구,✈️ 서울로얄호텔 [02156],1754.3,770.5,2524.8,8.0
02157,종로구,을지로입구.시청입구 [02157],1093.5,956.5,2050.0,8.0
02159,중구,✈️ 을지로2가 [02159],1711.9,463.4,2175.3,7.0
02160,중구,을지로3가 [02160],579.0,1266.9,1845.9,6.0
02165,중구,방산시장.을지로4가역6번출구 [02165],350.8,538.1,888.9,5.0
02171,중구,광희동 [02171],1141.4,2412.7,3554.1,7.0
02172,중구,을지로6가.국립중앙의료원 [02172],594.1,710.9,1305.0,5.0
02179,중구,성동공업고등학교(무궁화회관) [02179],525.7,477.8,1003.5,3.0
02189,중구,신당동.청구역 [02189],533.2,782.6,1315.8,5.0
02190,중구,신당동.청구역 [02190],834.7,800.8,1635.5,5.0
02195,중구,약수역8번출구.신당사회복지관 [02195],1037.8,581.5,1619.3,5.0
02196,중구,약수역7번출구.약수동주민센터 [02196],635.0,808.3,1443.2,5.0
02198,중구,송도병원앞 [02198],306.0,446.3,752.3,5.0
02199,중구,약수역1번출구 [02199],433.6,333.3,766.9,4.0
02201,중구,장충체육관앞 [02201],361.7,470.0,831.7,4.0
02202,중구,장충체육관앞 [02202],374.1,457.6,831.7,4.0
02205,중구,퇴계로6가 [02205],289.4,393.0,682.5,4.0
02206,중구,퇴계로6가 [02206],613.3,617.1,1230.4,6.0
02212,중구,청구역 [02212],602.9,153.0,755.9,2.0
02215,종로구,백범광장 [02215],151.8,264.1,415.9,3.0
02224,종로구,청계1가.광교 [02224],117.5,43.9,161.4,3.0
02240,중구,청계3가.관수교 [02240],101.3,64.3,165.5,1.0
02252,성동구,신당파인힐하나유보라 [02252],820.9,421.9,1242.8,9.0
02257,성동구,황학동주민센터 [02257],258.4,246.0,504.3,2.0
02258,성동구,신당초등학교앞 [02258],420.8,223.6,644.4,2.0
02259,성동구,금호베스트빌.삼성래미안아파트 [02259],211.6,745.0,956.6,3.0
02273,성동구,황학동롯데캐슬 [02273],357.8,328.6,686.4,2.0
02275,중구,광희문.광희동사거리 [02275],202.0,281.8,483.9,2.0
02277,성동구,황학동롯데캐슬 [02277],640.9,264.7,905.6,1.0
02281,종로구,서대문역사거리.농협중앙회 [02281],918.8,1768.8,2687.6,10.0
02283,종로구,북창동.남대문시장 [02283],,,,
