ARS,자치구,정류장이름,경도,위도
01111,종로구,통인시장종로구보건소 [01111],126.9713851083,37.5805132118
01112,종로구,효자동 [01112],126.9706209712,37.583091043
01113,종로구,사직단.어린이도서관 [01113],126.9679907155,37.5751355316
01114,종로구,경복궁역1번출구 [01114],126.9714158133,37.5761614873
01123,종로구,서울역사박물관.경교장.강북삼성병원 [01123],126.971248,37.570023
01125,종로구,광화문 [01125],126.975837,37.570365
01127,종로구,서울경찰청.경복궁역 [01127],126.9714842989,37.5757446636
01128,종로구,사직단 [01128],126.968188961,37.5748553458
01129,종로구,광화문광화문빌딩 [01129],126.9768637419,37.5695035518
01131,종로구,안국역.종로경찰서.인사동 [01131],126.9839957858,37.5760695565
01132,은평구,국민은행세검정지점 [01132],126.9608880061,37.6046629766
01133,은평구,세검정초등학교 [01133],126.9612198463,37.6025022799
01134,은평구,세검정.상명대 [01134],126.9582921267,37.6004770909
01135,은평구,상명대입구.석파랑 [01135],126.958570225,37.5994133537
01136,종로구,하림각 [01136],126.9617068235,37.5981330665
01137,종로구,자하문터널입구.석파정 [01137],126.9636434993,37.5955935123
01144,은평구,세검정초등학교 [01144],126.9614328894,37.6022680671
01150,은평구,구기터널.삼성출판박물관 [01150],126.9562103294,37.6086098941
01152,은평구,구기동 [01152],126.9585297928,37.6069644475
01157,종로구,평창동주민센터 [01157],126.9695663093,37.6066073749
01158,종로구,일성아파트 [01158],126.9729237379,37.6088723554
01159,종로구,롯데아파트 [01159],126.9763156152,37.6103897208
01161,종로구,벽산평창힐스아파트 [01161],126.972797,37.60819
01162,종로구,예능교회 [01162],126.97,37.606517
01167,종로구,독립문역.서대문형무소역사관 [01167],126.959322,37.573395
01172,종로구,창덕궁.서울돈화문국악당 [01172],126.9885394479,37.5775405746
01173,종로구,서린동.SK서린빌딩 [01173],126.9800947893,37.5692639006
01174,종로구,청계1가.광교 [01174],126.9849267193,37.568684389
01177,중구,청계5가.광장시장 [01177],126.9997973605,37.5694512793
01199,종로구,창덕궁.우리소리박물관 [01199],126.9889538872,37.5772726542
01202,종로구,조계사.종로경찰서 [01202],126.9828258888,37.5724858087
01218,중구,현대그룹빌딩 [01218],127.0008065808,37.5759104142
01219,중구,방송통신대.이화장 [01219],127.002437,37.578043
01220,성북구,혜화역.마로니에공원 [01220],127.0022769364,37.5811194873
01221,성북구,혜화역.서울대병원입구 [01221],127.0018481852,37.5809559696
01222,중구,방송통신대.이화장 [01222],127.0019782952,37.5777889737
01224,중구,창경궁.서울대학교병원 [01224],126.9968717143,37.5788279947
01228,성북구,혜화역.서울연극센터 [01228],127.0014608831,37.5840306853
01229,성북구,혜화역.동성중고 [01229],127.0015561579,37.5845329425
01231,성북구,종로구민회관.창신동두산아파트 [01231],127.0155555279,37.5740926792
01240,성북구,동묘역.롯데캐슬천지인 [01240],127.0158023517,37.5741800523
01243,성북구,신설동로터리 [01243],127.0228414296,37.5756947252
01250,종로구,서울역사박물관.김구집무실(경교장) [01250],126.9721318077,37.5699003386
01287,은평구,상명대입구.석파랑 [01287],126.9581941404,37.5995718125
01293,종로구,평창동삼성아파트 [01293],126.9787981475,37.6111800895
01683,종로구,✈️ 종로2가 YMCA [01683],126.98508926,37.5703976388
01762,종로구,✈️ 광화문 [01762],126.9755694982,37.5703374879
01763,종로구,✈️ 종로1가 [01763],126.980129,37.57037
01767,중구,✈️ 종로3가 [01767],126.9932082199,37.5706348964
02101,용산구,만리동고개 [02101],126.9626582054,37.551787064
02102,용산구,손기정체육공원입구 [02102],126.9662339013,37.5544459527
02105,용산구,서울역서부 [02105],126.969293,37.555855
02106,종로구,중림동교차로 [02106],126.9691354395,37.5583836266
02107,종로구,종근당.충정로역 [02107],126.964543,37.559648
02108,종로구,한국경제신문사 [02108],126.9678680149,37.5602111497
02110,종로구,경찰청.동북아역사재단 [02110],126.9691267228,37.5630494858
02116,종로구,염천교 [02116],126.97311408,37.5598696316
02117,종로구,숭례문 [02117],126.97335794,37.5584010617
02118,종로구,숭례문.한국일보 [02118],126.9737375955,37.5587713091
02122,종로구,숭례문 [02122],126.9740436876,37.5584195299
02123,종로구,숭례문 [02123],126.9736279452,37.5580006528
02125,종로구,숭례문남산방향 [02125],126.9756720863,37.5585581643
02126,종로구,남대문시장 [02126],126.9800597585,37.561191081
02128,종로구,시청앞 [02128],126.97644367,37.562197167
02132,종로구,시청앞 [02132],126.976148714,37.562764205
02146,종로구,남대문시장.회현역 [02146],126.9784645011,37.5584920257
02147,종로구,남산3호터널 [02147],126.9827404025,37.5583104538
02148,종로구,남산3호터널.서울애니메이션센터 [02148],126.9826359346,37.5595260891
02150,종로구,퇴계로2가.명동역 [02150],126.9843582953,37.5609325805
02151,중구,퇴계로3가.한옥마을.한국의집 [02151],126.9917771969,37.5612508237
02152,중구,퇴계로3가.한옥마을.한국의집 [02152],126.9924098253,37.5609019668
02153,중구,충무로역2번출구.대한극장앞 [02153],126.9947285429,37.5612375854
02156,종로구,✈️ 서울로얄호텔 [02156],126.9853902774,37.5658757422
02157,종로구,을지로입구.시청입구 [02157],126.9811712097,37.5661382638
02159,중구,✈️ 을지로2가 [02159],126.988670826,37.5660727123
02160,중구,을지로3가 [02160],126.9902600103,37.5663729806
02165,중구,방산시장.을지로4가역6번출구 [02165],126.999258524,37.5668182855
02171,중구,광희동 [02171],127.0077222561,37.5651725525
02172,중구,을지로6가.국립중앙의료원 [02172],127.0058434821,37.5664631128
02179,중구,성동공업고등학교(무궁화회관) [02179],127.0157558376,37.5683481924
02189,중구,신당동.청구역 [02189],127.0132161263,37.5589483023
02190,중구,신당동.청구역 [02190],127.0130316796,37.559257398
02195,중구,약수역8번출구.신당사회복지관 [02195],127.0099566945,37.5538646495
02196,중구,약수역7번출구.약수동주민센터 [02196],127.0092978444,37.5528509718
02198,중구,송도병원앞 [02198],127.0073984027,37.550227118
02199,중구,약수역1번출구 [02199],127.009755648,37.556252533
02201,중구,장충체육관앞 [02201],127.0080610837,37.5583362176
02202,중구,장충체육관앞 [02202],127.0078281581,37.5580017329
02205,중구,퇴계로6가 [02205],127.0039011095,37.5634011312
02206,중구,퇴계로6가 [02206],127.00337576,37.5635284386
02212,중구,청구역 [02212],127.014219181,37.5599303778
02215,종로구,백범광장 [02215],126.980093,37.555737
02224,종로구,청계1가.광교 [02224],126.9833922386,37.5685707852
02240,중구,청계3가.관수교 [02240],126.9929650755,37.5682134567
02252,성동구,신당파인힐하나유보라 [02252],127.0248560363,37.5649809794
02257,성동구,황학동주민센터 [02257],127.0234023516,37.5668556166
02258,성동구,신당초등학교앞 [02258],127.0239172657,37.5644813411
02259,성동구,금호베스트빌.삼성래미안아파트 [02259],127.0240513307,37.5616452068
02273,성동구,황학동롯데캐슬 [02273],127.0220339686,37.5716601701
02275,중구,광희문.광희동사거리 [02275],127.009677887,37.5644016142
02277,성동구,황학동롯데캐슬 [02277],127.0232958633,37.5708197498
02281,종로구,서대문역사거리.농협중앙회 [02281],126.9679802656,37.5668848609
02283,종로구,북창동.남대문시장 [02283],126.9769187336,37.5608462911
02286,종로구,시청앞.덕수궁 [02286],126.9768355729,37.5662122834
02662,종로구,✈️ 시청(덕수궁) [02662],126.976921,37.566254
02665,종로구,✈️ 서울역 [02665],126.9728595843,37.5578195556
02679,중구,✈️ 호텔피제이(충무로역) [02679],126.9955605031,37.5617180187
02706,종로구,✈️ 시청.서울신문사 [02706],126.9773647244,37.568299316
03001,용산구,한강대교북단.LG유플러스 [03001],126.9631209528,37.5240499441
03002,용산구,한강대교북단.LG유플러스 [03002],126.9631848403,37.5243060629
03119,용산구,신용산역3번출구 [03119],126.9673497525,37.5288895698
03122,용산구,한강대교북단 [03122],126.963570714,37.5249689864
03129,용산구,숙대입구역.청파동주민센터 [03129],126.9704188578,37.5454861572
03130,용산구,남영역 [03130],126.971032,37.540813
03136,용산구,용산전자상가.전자랜드 [03136],126.9583252146,37.5327790559
03138,용산구,원효대교북단 [03138],126.956110982,37.5319853728
03140,용산구,용산경찰서 [03140],126.9690615428,37.5399994643
03146,용산구,원효로3가 [03146],126.9581798302,37.5340407624
03148,중구,용암초등학교입구.이태원주공아파트 [03148],126.9886645749,37.5441159432
03150,용산구,용산한신아파트 [03150],126.9871086322,37.5398054732
03151,용산구,해방촌 [03151],126.986609087,37.537817739
03153,용산구,용산구청.크라운호텔 [03153],126.991163,37.530303
03154,용산구,용산구청 [03154],126.9911698907,37.5294095764
03155,용산구,한강중학교 [03155],126.9921715396,37.5254587536
03156,용산구,한강중학교앞 [03156],126.9924287738,37.5245025908
03157,용산구,서빙고역1번출구 [03157],126.9899502397,37.5200464191
03158,중구,장충단로입구 [03158],127.002202,37.545795
03159,중구,남산예술원 [03159],127.00204,37.544437
03160,중구,서울중부기술교육원.블루스퀘어 [03160],127.0033851827,37.5416918639
03161,중구,서울시중부기술교육원.블루스퀘어 [03161],127.0031508133,37.5411791533
03166,중구,한남5거리 [03166],127.0083126426,37.5328478217
03171,중구,보성여중고입구 [03171],126.9858399758,37.5463968458
03172,용산구,보성여중고입구 [03172],126.9856317665,37.5462598541
03173,중구,남산체육관 [03173],126.9927901963,37.5427038827
03175,중구,하얏트호텔 [03175],126.9961358368,37.5417535527
03176,중구,하얏트호텔 [03176],126.9974258076,37.540866103
03178,용산구,용마루고개.효창파크푸르지오아파트 [03178],126.9585520334,37.5402999129
03180,용산구,효창공원앞역 [03180],126.9626978558,37.5388284845
03184,용산구,전쟁기념관 [03184],126.9768577525,37.5347586674
03185,용산구,전쟁기념관 [03185],126.9753831458,37.534651168
03187,용산구,녹사평역 [03187],126.9853046955,37.5347582183
03198,용산구,서울역 [03198],126.9738943742,37.5536168846
03205,용산구,용산중고 [03205],126.977563,37.54574
03206,용산구,남영동주민센터 [03206],126.976572,37.545772
03207,용산구,남영동주민센터 [03207],126.975732,37.545505
03210,중구,한남시범아파트 [03210],127.0122607528,37.5379429734
03212,중구,한남동 [03212],127.0084445845,37.5339127002
03213,중구,한남동 [03213],127.0087002913,37.5337549896
03214,용산구,이촌동동부센트레빌 [03214],126.9660096214,37.5215595386
03215,용산구,이촌동두산위브트레지움.한강대우아파트 [03215],126.9675282802,37.5215734809
03220,용산구,신용산초등학교 [03220],126.9762479627,37.5190775256
03221,용산구,중경고등학교.이촌동강촌아파트 [03221],126.9775234206,37.5189178471
03223,용산구,이촌동현대아파트 [03223],126.9787120007,37.5185336834
03225,용산구,서빙고신동아아파트 [03225],126.9851053606,37.517936953
03228,용산구,손기정체육공원 [03228],126.9664230215,37.5542153265
03236,용산구,효창공원후문 [03236],126.9625778991,37.5467910299
03239,용산구,효창운동장.효창동주민센터 [03239],126.9617671315,37.5422095196
03243,용산구,도래삼성래미안아파트 [03243],126.9574338661,37.539776803
03244,용산구,도원삼성래미안아파트 [03244],126.9572103137,37.5396254142
03252,용산구,신용산.지하차도 [03252],126.963882,37.53259
03253,용산구,신용산역 [03253],126.9676784797,37.5300338589
03256,용산구,용산푸르지오써밋 [03256],126.96475962,37.5275756153
03258,용산구,용산역광장앞 [03258],126.965617,37.528333
03259,용산구,용산역사박물관.용산철도고등학교 [03259],126.9660149714,37.5255972846
03260,용산구,용산역사박물관.용산철도고등학교 [03260],126.9671194025,37.5253057707
03261,용산구,용산세무서 [03261],126.9692440232,37.5237318415
03264,용산구,이촌역 [03264],126.9740268751,37.5223634662
03265,용산구,국립중앙박물관용산가족공원 [03265],126.9786512102,37.5208980106
03266,용산구,국립중앙박물관용산가족공원 [03266],126.9799562027,37.5208754875
03267,용산구,서빙고역교차로 [03267],126.9899,37.520427
03272,용산구,서빙고동 [03272],126.992986,37.519851
03273,용산구,서빙고동주민센터 [03273],126.9948813029,37.5203840049
03274,용산구,동빙고동 [03274],126.996690677,37.5208183604
03275,용산구,동빙고동 [03275],126.9970390394,37.5212625565
03276,용산구,보광신동아아파트삼성리버빌아파트 [03276],127.0020297105,37.5247380028
03277,용산구,보광동신동아아파트 [03277],127.0015149467,37.5256237907
03281,용산구,한국폴리텍1대학 [03281],126.9967926172,37.5301959868
