ARS,자치구,정류장이름,거리_시청_km,거리_강남_km,거리_여의도_km,거리_도심최근접_km
01111,종로구,통인시장종로구보건소 [01111],1.682,10.438,7.718,1.682
01112,종로구,효자동 [01112],1.974,10.723,7.926,1.974
01113,종로구,사직단.어린이도서관 [01113],1.315,10.069,7.053,1.315
01114,종로구,경복궁역1번출구 [01114],1.237,10.014,7.315,1.237
01123,종로구,서울역사박물관.경교장.강북삼성병원 [01123],0.718,9.434,6.754,0.718
01125,종로구,광화문 [01125],0.487,9.261,7.038,0.487
01127,종로구,서울경찰청.경복궁역 [01127],1.193,9.97,7.28,1.193
01128,종로구,사직단 [01128],1.28,10.033,7.036,1.28
01129,종로구,광화문광화문빌딩 [01129],0.368,9.133,7.024,0.368
01131,종로구,안국역.종로경찰서.인사동 [01131],1.212,9.504,7.987,1.212
01132,은평구,국민은행세검정지점 [01132],4.521,13.248,9.746,4.521
01133,은평구,세검정초등학교 [01133],4.285,13.02,9.529,4.285
01134,은평구,세검정.상명대 [01134],4.175,12.94,9.231,4.175
01135,은평구,상명대입구.석파랑 [01135],4.057,12.824,9.127,4.057
01136,종로구,하림각 [01136],3.816,12.568,9.089,3.816
01137,종로구,자하문터널입구.석파정 [01137],3.491,12.239,8.891,3.491
01144,은평구,세검정초등학교 [01144],4.255,12.989,9.511,4.255
01150,은평구,구기터널.삼성출판박물관 [01150],5.078,13.826,10.039,5.078
01152,은평구,구기동 [01152],4.833,13.57,9.923,4.833
01157,종로구,평창동주민센터 [01157],4.542,13.126,10.222,4.542
01158,종로구,일성아파트 [01158],4.754,13.248,10.571,4.754
01159,종로구,롯데아파트 [01159],4.905,13.3,10.848,4.905
01161,종로구,벽산평창힐스아파트 [01161],4.68,13.181,10.497,4.68
01162,종로구,예능교회 [01162],4.526,13.102,10.228,4.526
01167,종로구,독립문역.서대문형무소역사관 [01167],1.818,10.33,6.497,1.818
01172,종로구,창덕궁.서울돈화문국악당 [01172],1.563,9.502,8.376,1.563
01173,종로구,서린동.SK서린빌딩 [01173],0.382,8.973,7.195,0.382
01174,종로구,청계1가.광교 [01174],0.674,8.724,7.446,0.674
01177,중구,청계5가.광장시장 [01177],1.962,8.325,8.487,1.962
01199,종로구,창덕궁.우리소리박물관 [01199],1.561,9.461,8.378,1.561
01202,종로구,조계사.종로경찰서 [01202],0.813,9.185,7.621,0.813
01218,중구,현대그룹빌딩 [01218],2.284,8.99,9.018,2.284
01219,중구,방송통신대.이화장 [01219],2.526,9.184,9.283,2.526
01220,성북구,혜화역.마로니에공원 [01220],2.708,9.519,9.506,2.708
01221,성북구,혜화역.서울대병원입구 [01221],2.667,9.51,9.467,2.667
01222,중구,방송통신대.이화장 [01222],2.477,9.166,9.234,2.477
01224,중구,창경궁.서울대학교병원 [01224],2.176,9.398,8.988,2.176
01228,성북구,혜화역.서울연극센터 [01228],2.863,9.851,9.683,2.863
01229,성북구,혜화역.동성중고 [01229],2.908,9.903,9.729,2.908
01231,성북구,종로구민회관.창신동두산아파트 [01231],3.43,8.539,9.906,3.43
01240,성북구,동묘역.롯데캐슬천지인 [01240],3.453,8.546,9.929,3.453
01243,성북구,신설동로터리 [01243],4.096,8.661,10.533,4.096
01250,종로구,서울역사박물관.김구집무실(경교장) [01250],0.647,9.382,6.791,0.647
01287,은평구,상명대입구.석파랑 [01287],4.087,12.855,9.133,4.087
01293,종로구,평창동삼성아파트 [01293],4.991,13.311,11.021,4.991
01683,종로구,✈️ 종로2가 YMCA [01683],0.78,8.89,7.59,0.78
01762,종로구,✈️ 광화문 [01762],0.494,9.27,7.02,0.494
01763,종로구,✈️ 종로1가 [01763],0.493,9.081,7.287,0.493
01767,중구,✈️ 종로3가 [01767],1.433,8.638,8.128,1.433
02101,용산구,만리동고개 [02101],2.1,8.289,4.729,2.1
02102,용산구,손기정체육공원입구 [02102],1.672,8.296,5.161,1.672
02105,용산구,서울역서부 [02105],1.387,8.244,5.464,1.387
02106,종로구,중림동교차로 [02106],1.171,8.474,5.652,1.171
02107,종로구,종근당.충정로역 [02107],1.39,8.835,5.485,1.39
02108,종로구,한국경제신문사 [02108],1.114,8.704,5.724,1.114
02110,종로구,경찰청.동북아역사재단 [02110],0.854,8.892,6.035,0.854
02116,종로구,염천교 [02116],0.83,8.4,6.016,0.83
02117,종로구,숭례문 [02117],0.965,8.255,5.919,0.965
02118,종로구,숭례문.한국일보 [02118],0.914,8.269,5.971,0.914
02122,종로구,숭례문 [02122],0.94,8.221,5.964,0.94
02123,종로구,숭례문 [02123],0.997,8.204,5.906,0.997
02125,종로구,숭례문남산방향 [02125],0.883,8.152,6.08,0.883
02126,종로구,남대문시장 [02126],0.599,8.192,6.564,0.599
02128,종로구,시청앞 [02128],0.474,8.454,6.407,0.474
02132,종로구,시청앞 [02132],0.422,8.521,6.433,0.422
02146,종로구,남대문시장.회현역 [02146],0.87,8.011,6.261,0.87
02147,종로구,남산3호터널 [02147],0.986,7.796,6.539,0.986
02148,종로구,남산3호터널.서울애니메이션센터 [02148],0.861,7.917,6.617,0.861
02150,종로구,퇴계로2가.명동역 [02150],0.825,7.979,6.833,0.825
02151,중구,퇴계로3가.한옥마을.한국의집 [02151],1.346,7.72,7.371,1.346
02152,중구,퇴계로3가.한옥마을.한국의집 [02152],1.413,7.662,7.393,1.413
02153,중구,충무로역2번출구.대한극장앞 [02153],1.587,7.616,7.581,1.587
02156,종로구,✈️ 서울로얄호텔 [02156],0.662,8.425,7.262,0.662
02157,종로구,을지로입구.시청입구 [02157],0.289,8.622,7.012,0.289
02159,중구,✈️ 을지로2가 [02159],0.95,8.321,7.492,0.95
02160,중구,을지로3가 [02160],1.089,8.295,7.62,1.089
02165,중구,방산시장.을지로4가역6번출구 [02165],1.883,8.061,8.27,1.883
02171,중구,광희동 [02171],2.631,7.683,8.774,2.631
02172,중구,을지로6가.국립중앙의료원 [02172],2.463,7.862,8.717,2.463
02179,중구,성동공업고등학교(무궁화회관) [02179],3.344,7.903,9.561,3.344
02189,중구,신당동.청구역 [02189],3.218,6.906,8.841,3.218
02190,중구,신당동.청구역 [02190],3.194,6.943,8.842,3.194
02195,중구,약수역8번출구.신당사회복지관 [02195],3.146,6.415,8.331,3.146
02196,중구,약수역7번출구.약수동주민센터 [02196],3.146,6.32,8.231,3.146
02198,중구,송도병원앞 [02198],3.155,6.085,7.959,3.155
02199,중구,약수역1번출구 [02199],3.022,6.677,8.432,3.022
02201,중구,장충체육관앞 [02201],2.802,6.938,8.408,2.802
02202,중구,장충체육관앞 [02202],2.795,6.907,8.372,2.795
02205,중구,퇴계로6가 [02205],2.314,7.577,8.385,2.314
02206,중구,퇴계로6가 [02206],2.266,7.604,8.354,2.266
02212,중구,청구역 [02212],3.279,6.998,8.97,3.279
02215,종로구,백범광장 [02215],1.19,7.675,6.179,1.19
02224,종로구,청계1가.광교 [02224],0.546,8.772,7.341,0.546
02240,중구,청계3가.관수교 [02240],1.345,8.394,7.934,1.345
02252,성동구,신당파인힐하나유보라 [02252],4.141,7.463,10.062,4.141
02257,성동구,황학동주민센터 [02257],4.011,7.676,10.051,4.011
02258,성동구,신당초등학교앞 [02258],4.061,7.411,9.962,4.061
02259,성동구,금호베스트빌.삼성래미안아파트 [02259],4.101,7.095,9.827,4.101
02273,성동구,황학동롯데캐슬 [02273],3.935,8.216,10.225,3.935
02275,중구,광희문.광희동사거리 [02275],2.809,7.562,8.873,2.809
02277,성동구,황학동롯데캐슬 [02277],4.032,8.117,10.269,4.032
02281,종로구,서대문역사거리.농협중앙회 [02281],0.877,9.299,6.302,0.877
02283,종로구,북창동.남대문시장 [02283],0.613,8.304,6.334,0.613
02286,종로구,시청앞.덕수궁 [02286],0.094,8.817,6.75,0.094
02662,종로구,✈️ 시청(덕수궁) [02662],0.086,8.817,6.759,0.086
02665,종로구,✈️ 서울역 [02665],1.042,8.228,5.842,1.042
02679,중구,✈️ 호텔피제이(충무로역) [02679],1.638,7.638,7.672,1.638
02706,종로구,✈️ 시청.서울신문사 [02706],0.227,8.994,6.953,0.227
03001,용산구,한강대교북단.LG유플러스 [03001],4.875,6.388,3.414,3.414
03002,용산구,한강대교북단.LG유플러스 [03002],4.846,6.396,3.422,3.422
03119,용산구,신용산역3번출구 [03119],4.263,6.334,3.858,3.858
03122,용산구,한강대교북단 [03122],4.766,6.4,3.462,3.462
03129,용산구,숙대입구역.청파동주민센터 [03129],2.407,7.31,4.824,2.407
03130,용산구,남영역 [03130],2.898,6.904,4.611,2.898
03136,용산구,용산전자상가.전자랜드 [03136],4.107,7.237,3.219,3.219
03138,용산구,원효대교북단 [03138],4.272,7.357,3.005,3.005
03140,용산구,용산경찰서 [03140],3.027,6.969,4.415,3.027
03146,용산구,원효로3가 [03146],3.986,7.324,3.262,3.262
03148,중구,용암초등학교입구.이태원주공아파트 [03148],2.643,6.181,6.174,2.643
03150,용산구,용산한신아파트 [03150],3.056,5.871,5.869,3.056
03151,용산구,해방촌 [03151],3.259,5.725,5.756,3.259
03153,용산구,용산구청.크라운호텔 [03153],4.17,4.828,5.953,4.17
03154,용산구,용산구청 [03154],4.266,4.754,5.938,4.266
03155,용산구,한강중학교 [03155],4.712,4.377,5.981,4.377
