역명,ROUTE,위도,경도,역_승하차_일평균
서울역,1호선,37.556228,126.972135,244600.0
시청,1호선,37.565715,126.977088,104521.0
종각,1호선,37.570161,126.982923,78480.0
종로3가,1호선,37.570406,126.991847,110050.0
종로5가,1호선,37.570926,127.001849,49133.0
동대문,1호선,37.571687,127.01093,68389.0
신설동,1호선,37.576048,127.024634,42844.0
제기동,1호선,37.578103,127.034893,33867.0
청량리(서울시립대입구),1호선,37.579956,127.044585,87273.0
동묘앞,1호선,37.573197,127.01648,44186.0
시청,2호선,37.563588,126.975411,104521.0
을지로입구,2호선,37.566014,126.982618,106636.0
을지로3가,2호선,37.566306,126.991696,77878.0
을지로4가,2호선,37.566595,126.997817,43686.0
동대문역사문화공원,2호선,37.565613,127.009054,81517.0
신당,2호선,37.56564,127.019614,50244.0
상왕십리,2호선,37.564354,127.029354,29209.0
왕십리(성동구청),2호선,37.561238,127.036954,79624.0
한양대,2호선,37.555273,127.043655,31223.0
뚝섬,2호선,37.547184,127.047367,52793.0
성수,2호선,37.544581,127.055961,116830.0
건대입구,2호선,37.540373,127.069191,114611.0
구의(광진구청),2호선,37.537077,127.085916,56837.0
강변(동서울터미널),2호선,37.535095,127.094681,53494.0
잠실나루,2호선,37.520733,127.10379,31452.0
잠실(송파구청),2호선,37.513262,127.100159,215254.0
잠실새내,2호선,37.511687,127.086162,49133.0
종합운동장,2호선,37.511022,127.073704,43338.0
삼성(무역센터),2호선,37.508844,127.06316,107333.0
선릉,2호선,37.504286,127.048203,132268.0
역삼,2호선,37.500622,127.036456,99874.0
강남,2호선,37.49799,127.027912,159206.0
교대(법원.검찰청),2호선,37.493961,127.014667,92843.0
서초,2호선,37.491897,127.007917,44293.0
방배,2호선,37.481426,126.997596,37720.0
사당,2호선,37.476538,126.981544,144596.0
낙성대,2호선,37.47693,126.963693,57152.0
서울대입구(관악구청),2호선,37.481247,126.952739,96025.0
봉천,2호선,37.482362,126.941892,48236.0
신림,2호선,37.484201,126.929715,117777.0
신대방,2호선,37.487462,126.913149,50182.0
구로디지털단지,2호선,37.485266,126.901401,113519.0
대림(구로구청),2호선,37.493243,126.894932,70159.0
신도림,2호선,37.508961,126.891084,108489.0
문래,2호선,37.517933,126.89476,46777.0
영등포구청,2호선,37.525706,126.89661,57162.0
당산,2호선,37.534946,126.902767,80987.0
합정,2호선,37.549457,126.913808,98912.0
홍대입구,2호선,37.55679,126.923708,197667.0
신촌,2호선,37.555131,126.936926,85584.0
이대,2호선,37.556733,126.946013,39920.0
아현,2호선,37.557345,126.956141,22516.0
충정로(경기대입구),2호선,37.559704,126.964378,31481.0
용답,2호선,37.561904,127.050899,7040.0
신답,2호선,37.57004,127.046481,3794.0
신설동,2호선,37.574747,127.024932,42844.0
도림천,2호선,37.514287,126.882768,3097.0
양천구청,2호선,37.512398,126.865819,14379.0
신정네거리,2호선,37.520074,126.852912,21079.0
용두(동대문구청),2호선,37.574028,127.038091,4729.0
지축,3호선,37.648033,126.913917,15670.0
구파발,3호선,37.636763,126.918821,45355.0
연신내,3호선,37.619229,126.921038,75817.0
불광,3호선,37.610553,126.92982,44854.0
녹번,3호선,37.600927,126.935756,29825.0
홍제,3호선,37.589066,126.943736,37658.0
무악재,3호선,37.582299,126.950291,8822.0
독립문,3호선,37.574571,126.957748,17700.0
경복궁(정부서울청사),3호선,37.575762,126.97353,57041.0
안국,3호선,37.576477,126.985443,60073.0
종로3가,3호선,37.571605,126.991791,110050.0
