ARS,자치구,정류장이름,최근접지하철_거리_m,최근접역명,최근접역호선,최근접역_승하차_일평균
01111,종로구,통인시장종로구보건소 [01111],558.3,경복궁(정부서울청사),3호선,57041.0
01112,종로구,효자동 [01112],849.9,경복궁(정부서울청사),3호선,57041.0
01113,종로구,사직단.어린이도서관 [01113],493.8,경복궁(정부서울청사),3호선,57041.0
01114,종로구,경복궁역1번출구 [01114],191.7,경복궁(정부서울청사),3호선,57041.0
01123,종로구,서울역사박물관.경교장.강북삼성병원 [01123],548.4,광화문(세종문화회관),5호선,70692.0
01125,종로구,광화문 [01125],174.0,광화문(세종문화회관),5호선,70692.0
01127,종로구,서울경찰청.경복궁역 [01127],180.6,경복궁(정부서울청사),3호선,57041.0
01128,종로구,사직단 [01128],481.9,경복궁(정부서울청사),3호선,57041.0
01129,종로구,광화문광화문빌딩 [01129],225.1,광화문(세종문화회관),5호선,70692.0
01131,종로구,안국역.종로경찰서.인사동 [01131],135.4,안국,3호선,60073.0
01132,은평구,국민은행세검정지점 [01132],2256.2,녹번,3호선,29825.0
01133,은평구,세검정초등학교 [01133],2141.7,홍제,3호선,37658.0
01134,은평구,세검정.상명대 [01134],1800.4,홍제,3호선,37658.0
01135,은평구,상명대입구.석파랑 [01135],1738.5,홍제,3호선,37658.0
01136,종로구,하림각 [01136],1876.2,홍제,3호선,37658.0
01137,종로구,자하문터널입구.석파정 [01137],1883.7,무악재,3호선,8822.0
01144,은평구,세검정초등학교 [01144],2137.6,홍제,3호선,37658.0
01150,은평구,구기터널.삼성출판박물관 [01150],1995.0,녹번,3호선,29825.0
01152,은평구,구기동 [01152],2117.8,녹번,3호선,29825.0
01157,종로구,평창동주민센터 [01157],2992.8,홍제,3호선,37658.0
01158,종로구,일성아파트 [01158],3137.9,북한산보국문,우이신설선,13112.0
01159,종로구,롯데아파트 [01159],2824.6,북한산보국문,우이신설선,13112.0
01161,종로구,벽산평창힐스아파트 [01161],3158.3,북한산보국문,우이신설선,13112.0
01162,종로구,예능교회 [01162],3015.7,홍제,3호선,37658.0
01167,종로구,독립문역.서대문형무소역사관 [01167],190.3,독립문,3호선,17700.0
01172,종로구,창덕궁.서울돈화문국악당 [01172],297.5,안국,3호선,60073.0
01173,종로구,서린동.SK서린빌딩 [01173],268.6,종각,1호선,78480.0
01174,종로구,청계1가.광교 [01174],240.7,종각,1호선,78480.0
01177,중구,청계5가.광장시장 [01177],243.6,종로5가,1호선,49133.0
01199,종로구,창덕궁.우리소리박물관 [01199],322.1,안국,3호선,60073.0
01202,종로구,조계사.종로경찰서 [01202],257.1,종각,1호선,78480.0
01218,중구,현대그룹빌딩 [01218],558.6,종로5가,1호선,49133.0
01219,중구,방송통신대.이화장 [01219],477.4,혜화,4호선,79643.0
01220,성북구,혜화역.마로니에공원 [01220],139.8,혜화,4호선,79643.0
01221,성북구,혜화역.서울대병원입구 [01221],152.5,혜화,4호선,79643.0
01222,중구,방송통신대.이화장 [01222],502.8,혜화,4호선,79643.0
01224,중구,창경궁.서울대학교병원 [01224],585.6,혜화,4호선,79643.0
01228,성북구,혜화역.서울연극센터 [01228],190.4,혜화,4호선,79643.0
01229,성북구,혜화역.동성중고 [01229],244.2,혜화,4호선,79643.0
01231,성북구,종로구민회관.창신동두산아파트 [01231],128.3,동묘앞,1호선,44186.0
01240,성북구,동묘역.롯데캐슬천지인 [01240],124.0,동묘앞,1호선,44186.0
01243,성북구,신설동로터리 [01243],56.6,신설동,우이신설선,42844.0
01250,종로구,서울역사박물관.김구집무실(경교장) [01250],479.6,광화문(세종문화회관),5호선,70692.0
01287,은평구,상명대입구.석파랑 [01287],1725.4,홍제,3호선,37658.0
01293,종로구,평창동삼성아파트 [01293],2601.3,북한산보국문,우이신설선,13112.0
01683,종로구,✈️ 종로2가 YMCA [01683],193.0,종각,1호선,78480.0
01762,종로구,✈️ 광화문 [01762],192.8,광화문(세종문화회관),5호선,70692.0
