자치구,정류장이름,ARS,가격_원,가격기준,가격_양면,가격_4면,상품유형,지원포맷,운영시간,야간조명,혼잡도,상세URL,수집일시,면수,가격_원per면
종로구,통인시장종로구보건소 [01111],01111,1156400,양면(2면),,,인쇄,"ai,psd",24시간 노출,O,원활,https://dukplace.com/ko/product/ad/1165,2026-05-31,2.0,578200.0
종로구,효자동 [01112],01112,1325940,양면(2면),,,인쇄,"ai,psd",24시간 노출,O,보통,https://dukplace.com/ko/product/ad/2566,2026-05-31,2.0,662970.0
종로구,사직단.어린이도서관 [01113],01113,1803200,양면(2면),,,인쇄,"ai,psd",24시간 노출,O,보통,https://dukplace.com/ko/product/ad/943,2026-05-31,2.0,901600.0
종로구,경복궁역1번출구 [01114],01114,1803200,양면(2면),,,인쇄,"ai,psd",24시간 노출,O,혼잡,https://dukplace.com/ko/product/ad/944,2026-05-31,2.0,901600.0
종로구,KT광화문지사 [01118],01118,1666000,,,,인쇄,"ai,psd",24시간 노출,O,매우혼잡,https://dukplace.com/ko/product/ad/401,2026-05-31,,
종로구,광화문역6번출구 [01120] 디지털,01120,1078000,,,,영상,"mp4,mov,wmv",04:00 ~ 03:00,X,원활,https://dukplace.com/ko/product/ad/114,2026-05-31,,
종로구,서울역사박물관.경교장.강북삼성병원 [01123],01123,940800,양면(2면),,,인쇄,"ai,psd",24시간 노출,O,혼잡,https://dukplace.com/ko/product/ad/945,2026-05-31,2.0,470400.0
종로구,광화문 [01125],01125,4390400,양면(2면),,,인쇄,"ai,psd",24시간 노출,O,매우혼잡,https://dukplace.com/ko/product/ad/547,2026-05-31,2.0,2195200.0
종로구,서울경찰청.경복궁역 [01127],01127,2005080,양면(2면),,,인쇄,"ai,psd",24시간 노출,O,보통,https://dukplace.com/ko/product/ad/2482,2026-05-31,2.0,1002540.0
종로구,사직단 [01128],01128,1325940,양면(2면),,,인쇄,"ai,psd",24시간 노출,O,보통,https://dukplace.com/ko/product/ad/2594,2026-05-31,2.0,662970.0
종로구,광화문광화문빌딩 [01129],01129,4390400,양면(2면),,,인쇄,"ai,psd",24시간 노출,O,매우혼잡,https://dukplace.com/ko/product/ad/548,2026-05-31,2.0,2195200.0
종로구,안국역.종로경찰서.인사동 [01131],01131,1803200,양면(2면),,,인쇄,"ai,psd",24시간 노출,O,매우혼잡,https://dukplace.com/ko/product/ad/946,2026-05-31,2.0,901600.0
은평구,국민은행세검정지점 [01132],01132,1156400,양면(2면),,,인쇄,"ai,psd",24시간 노출,O,원활,https://dukplace.com/ko/product/ad/1166,2026-05-31,2.0,578200.0
은평구,세검정초등학교 [01133],01133,411600,양면(2면),,,인쇄,"ai,psd",24시간 노출,O,원활,https://dukplace.com/ko/product/ad/2242,2026-05-31,2.0,205800.0
은평구,세검정.상명대 [01134],01134,411600,양면(2면),,,인쇄,"ai,psd",24시간 노출,O,원활,https://dukplace.com/ko/product/ad/2241,2026-05-31,2.0,205800.0
은평구,상명대입구.석파랑 [01135],01135,1156400,양면(2면),,,인쇄,"ai,psd",24시간 노출,O,원활,https://dukplace.com/ko/product/ad/1167,2026-05-31,2.0,578200.0
종로구,하림각 [01136],01136,1156400,양면(2면),,,인쇄,"ai,psd",24시간 노출,O,원활,https://dukplace.com/ko/product/ad/1168,2026-05-31,2.0,578200.0
종로구,자하문터널입구.석파정 [01137],01137,411600,양면(2면),,,인쇄,"ai,psd",24시간 노출,O,원활,https://dukplace.com/ko/product/ad/2245,2026-05-31,2.0,205800.0
은평구,세검정초등학교 [01144],01144,411600,양면(2면),,,인쇄,"ai,psd",24시간 노출,O,원활,https://dukplace.com/ko/product/ad/2243,2026-05-31,2.0,205800.0
은평구,구기터널.삼성출판박물관 [01150],01150,617400,단면(1면),,,인쇄,"ai,psd",24시간 노출,O,원활,https://dukplace.com/ko/product/ad/1169,2026-05-31,1.0,617400.0
은평구,구기동 [01152],01152,411600,양면(2면),,,인쇄,"ai,psd",24시간 노출,O,원활,https://dukplace.com/ko/product/ad/2238,2026-05-31,2.0,205800.0
종로구,평창동주민센터 [01157],01157,1156400,양면(2면),,,인쇄,"ai,psd",24시간 노출,O,원활,https://dukplace.com/ko/product/ad/1170,2026-05-31,2.0,578200.0
종로구,일성아파트 [01158],01158,411600,양면(2면),,,인쇄,"ai,psd",24시간 노출,O,원활,https://dukplace.com/ko/product/ad/2244,2026-05-31,2.0,205800.0
종로구,롯데아파트 [01159],01159,1156400,양면(2면),,,인쇄,"ai,psd",24시간 노출,O,원활,https://dukplace.com/ko/product/ad/1171,2026-05-31,2.0,578200.0
종로구,벽산평창힐스아파트 [01161],01161,411600,양면(2면),,,인쇄,"ai,psd",24시간 노출,O,매우혼잡,https://dukplace.com/ko/product/ad/2239,2026-05-31,2.0,205800.0
종로구,예능교회 [01162],01162,1156400,양면(2면),,,인쇄,"ai,psd",24시간 노출,O,원활,https://dukplace.com/ko/product/ad/1172,2026-05-31,2.0,578200.0
종로구,독립문역.서대문형무소역사관 [01167],01167,1156400,양면(2면),,,인쇄,"ai,psd",24시간 노출,O,원활,https://dukplace.com/ko/product/ad/1173,2026-05-31,2.0,578200.0
종로구,창덕궁.서울돈화문국악당 [01172],01172,1803200,양면(2면),,,인쇄,"ai,psd",24시간 노출,O,매우혼잡,https://dukplace.com/ko/product/ad/947,2026-05-31,2.0,901600.0
종로구,서린동.SK서린빌딩 [01173],01173,940800,양면(2면),,,인쇄,"ai,psd",24시간 노출,O,매우혼잡,https://dukplace.com/ko/product/ad/948,2026-05-31,2.0,470400.0
