ARS,자치구,정류장이름,가격_원per면,경도,위도,승차_일평균,하차_일평균,승하차_일평균,경유노선수,공시지가_원per㎡,거리_시청_km,거리_강남_km,거리_여의도_km,거리_도심최근접_km,POI_total_100m,POI_total_300m,POI_음식_300m,POI_소매_300m,POI_과학·기술_300m,POI_수리·개인_300m,POI_교육_300m,POI_부동산_300m,POI_시설관리·임대_300m,POI_예술·스포츠_300m,POI_보건의료_300m,POI_숙박_300m,POI_total_500m,최근접지하철_거리_m,최근접역_승하차_일평균,교차로수_300m,가로망연장_300m,간선도로연장_300m,교차로수_500m,가로망연장_500m,간선도로연장_500m,간선도로거리_m
01111,종로구,통인시장종로구보건소 [01111],578200.0,126.9713851083,37.5805132118,612.2,1234.6,1846.8,7.0,11130000.0,1.682,10.438,7.718,1.682,97.0,799.0,279.0,212.0,114.0,34.0,48.0,28.0,21.0,8.0,10.0,45.0,1522.0,558.3,57041.0,12.0,2701.0,594.0,31.0,6702.0,1255.0,22.9
01112,종로구,효자동 [01112],662970.0,126.9706209712,37.583091043,464.0,1127.7,1591.7,7.0,7007000.0,1.974,10.723,7.926,1.974,62.0,353.0,105.0,82.0,83.0,17.0,23.0,10.0,10.0,3.0,5.0,15.0,954.0,849.9,57041.0,16.0,3097.0,659.0,27.0,5827.0,1062.0,19.5
01113,종로구,사직단.어린이도서관 [01113],901600.0,126.9679907155,37.5751355316,1317.4,677.1,1994.5,7.0,2379000.0,1.315,10.069,7.053,1.315,42.0,424.0,179.0,60.0,77.0,16.0,31.0,17.0,15.0,7.0,7.0,15.0,1263.0,493.8,57041.0,33.0,5170.0,1508.0,69.0,10978.0,3162.0,8.8
01114,종로구,경복궁역1번출구 [01114],901600.0,126.9714158133,37.5761614873,3724.6,1837.7,5562.3,6.0,5374000.0,1.237,10.014,7.315,1.237,173.0,939.0,392.0,125.0,142.0,39.0,53.0,19.0,89.0,24.0,20.0,36.0,1881.0,191.7,57041.0,23.0,4128.0,1730.0,43.0,8818.0,2757.0,6.7
01123,종로구,서울역사박물관.경교장.강북삼성병원 [01123],470400.0,126.971248,37.570023,930.0,989.2,1919.3,7.0,11930000.0,0.718,9.434,6.754,0.718,53.0,491.0,170.0,60.0,121.0,22.0,33.0,13.0,42.0,8.0,22.0,0.0,1537.0,548.4,70692.0,16.0,2861.0,1175.0,31.0,7859.0,2078.0,13.7
01125,종로구,광화문 [01125],2195200.0,126.975837,37.570365,182.4,51.4,233.8,2.0,14210000.0,0.487,9.261,7.038,0.487,176.0,1032.0,386.0,111.0,247.0,23.0,41.0,20.0,152.0,12.0,37.0,3.0,3027.0,174.0,70692.0,37.0,5492.0,2913.0,87.0,13439.0,5708.0,11.3
01127,종로구,서울경찰청.경복궁역 [01127],1002540.0,126.9714842989,37.5757446636,1647.1,3079.5,4726.6,8.0,29290000.0,1.193,9.97,7.28,1.193,133.0,988.0,427.0,124.0,144.0,48.0,51.0,26.0,93.0,24.0,20.0,31.0,1914.0,180.6,57041.0,21.0,4093.0,1707.0,46.0,8959.0,2801.0,23.8
01128,종로구,사직단 [01128],662970.0,126.968188961,37.5748553458,677.7,2387.3,3065.0,8.0,3920000.0,1.28,10.033,7.036,1.28,36.0,424.0,180.0,59.0,74.0,15.0,31.0,18.0,16.0,8.0,8.0,15.0,1367.0,481.9,57041.0,32.0,4895.0,1508.0,64.0,10497.0,3204.0,18.0
01129,종로구,광화문광화문빌딩 [01129],2195200.0,126.9768637419,37.5695035518,192.2,301.8,494.0,3.0,21360000.0,0.368,9.133,7.024,0.368,62.0,1182.0,366.0,122.0,300.0,19.0,45.0,25.0,238.0,16.0,47.0,4.0,3217.0,225.1,70692.0,52.0,6682.0,3640.0,90.0,13666.0,6335.0,15.1
01131,종로구,안국역.종로경찰서.인사동 [01131],901600.0,126.9839957858,37.5760695565,1098.9,1108.7,2207.6,5.0,23120000.0,1.212,9.504,7.987,1.212,83.0,739.0,284.0,287.0,68.0,8.0,23.0,2.0,34.0,7.0,16.0,10.0,2647.0,135.4,60073.0,20.0,2756.0,1825.0,56.0,8874.0,3146.0,22.5
